No,PMID,title,year,journal,n_randomised,random1.1,conceal1.2,baselinediff1.3,rob1,interven,interven_type,blind_all,ptaware2.1,phyaware2.2,n_analysed,n_short_randomised,n_long_randomised,n_adherent_short,n_adherent_long,shortXlong,longXshort,short_protocol,long_protocol,short_actual,long_actual,intdev2.3,intdevoutcome2.4,intdevbalance2.5,pri_analysis_population,sec_analysis_pop,ana2.6,impact2.7,rob2.1,rob2.2,rob2,missing3.1,missingbias3.2,missingdepend3.3,missingdependlikely3.4,rob3,primary_outcome,fu_period_note,outcomemeasure4.1,outcomediffer4.2,assessaware4.3,assessinfluence4.4,assessinfluencelikely4.5,rob4,anaplan5.1,multioutcome5.2,multiana5.3,rob5,rob_overall,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
2,33773631,"Discontinuing β-lactam treatment after 3 days for patients with community-acquired pneumonia in non-critical care wards (PTC): a double-blind, randomised, placebo-controlled, non-inferiority trial",2021,Lancet,310,Y,Y,Y,Low risk,who met prespecified clinical stability criteria after 3 days of treatment with β-lactam therapy were randomly assigned (1:1) to receive β-lactam therapy (oral amoxicillin 1 g plus clavulanate 125 mg three times a day) or matched placebo for 5 extra days,arbitruary durations,1,N,N,303,157,153,145,146,5,1,3,8,not reported,not reported,NA,NA,NA,ITT,PP,Y,NA,Low risk,Low risk,Low risk,Y,NA,NA,NA,Low risk,"cure 15 days after first antibiotic intake, defined by apyrexia (temperature ≤37·8°C), resolution or improvement of respiratory symptoms, and no additional antibiotic treatment for any cause","cure 15 days after first antibiotic intake, defined by apyrexia (temperature ≤37·8°C), resolution or improvement of respiratory symptoms, and no additional antibiotic treatment for any cause",N,N,N,NA,NA,Low risk,Y,PN,N,Low risk,Low risk,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,Self reporting,withdrew consent,investigator initiated,clinical syndrome,,amoxicillin/clav,amoxicillin/clav,0,15,"cure 15 days after first antibiotic intake, defined by apyrexia (temperature ≤37·8°C), resolution or improvement of respiratory symptoms, and no additional antibiotic treatment for any cause",1,1,0,1,hospital los,23,32,2,"in our sample size calculations we anticipated a 90% cure rate; however, our actual cure rate was much lower. This difference might be due to the high variability in definitions of cure between studies leading to overestimation in our calculations"
3,33683325,"Short-Course Antimicrobial Therapy for Pediatric Community-Acquired Pneumonia
 The SAFER Randomized Clinical Trial",2021,JAMA Paeds,281,Y,Y,Y,Low risk,5 days of high-dose amoxicillin for CAP was associated with noninferior rates of clinical cure compared with 10 days of high-dose amoxicillin,arbitruary durations,1,N,N,252,140,141,109,114,Not reported,not reported,5,10,not reported,not reported,NA,NA,NA,PP,ITT,N,Y,Low risk,High risk,High risk,N,N,PY,PN,Some concerns,Clinical cure at 14 to 21 days,Clinical cure at 14 to 21 days,N,N,N,NA,NA,Low risk,Y,N,N,Low risk,High risk,non-inferiority,7.5,PP,ITT,0,0,NA,absolute difference,Self reporting,"withdrew consent, protocol deviation",investigator initiated,clinical syndrome,,amoxicillin,amoxicillin,0,21,Clinical cure at 14 to 21 days,1,0,0,1,0,14,16,0,"per-protocol (PP) analysis including those participants adherent to medications (ie, >80% of antimicrobial doses taken and no additional antibiotics taken for nonpneumonia infections), and strict PP analysis including only those in the PP group whose radiographs had radiologist-confirmed pneumonia"
6,34042388,Antibiotic Therapy for 6 or 12 Weeks for Prosthetic Joint Infection,2020,NEJM,410,Y,Y,Y,Low risk,The patients were randomly assigned to receive 6 weeks or 12 weeks of antibiotic therapy as soon as possible after surgical debridement,arbitrary durations,0,Y,Y,404,205,205,165,160,22,22,42,84,42,84,NI,NA,NA,mITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,persistent infection within 2 years after the end of antibiotic therapy,"Results of clinical assessments and patient-reported outcome measures were recorded at enrollment and at 6, 12, 24, and 52 weeks after day 0 and at 104 weeks after the planned completion date of antibiotic therapy.",N,N,Y,PY,PN,Some concerns,Y,PN,N,Low risk,Some concerns,non-inferiority,10,mITT,PP,1,1,long,absolute difference,Self reporting,"withdrew consent, died",investigator initiated,culture of sterile site,"Among the 380 patients who received at least one oral antibiotic agent, the most frequently used agents were rifampin (267 patients [70.3%]) and fluoroquinolone (260 [68.4%]); a total of 194 patients (51.1%) received both.",various,various,1,730,"Results of clinical assessments and patient-reported outcome measures were recorded at enrollment and at 6, 12, 24, and 52 weeks after day 0 and at 104 weeks after the planned completion date of antibiotic therapy.",1,1,0,1,hospital los,18,9,0,most of the treatment failures in the 6-week group occurred among the patients who had undergone débridement with implant retention
8,33904798,"The Duration of Antibiotics Prophylaxis at the Time of Catheter Removal after Radical Prostatectomy: Clinically-Integrated, Cluster, Randomized Trial",2021,J Uro,824,Y,Y,Y,Low risk,"prescribe 1-day vs 3-day regimen of prophylactic antibiotics at the time
  of catheter removal.",arbitrary durations,0,Y,Y,800,389,435,336,406,33,15,1,3,Not reported,Not reported,NI,NA,NA,ITT,PP,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,UTI,Not mentioned in the paper,N,PY,NA,NA,NA,High risk,NI,PY,NI,High risk,High risk,non-inferiority,0.35,ITT,PP,0,0,NA,absolute difference,Self reporting,NA,investigator initiated,NA,,Ciprofloxacin,Ciprofloxacin,0,Not reported,Not mentioned in the paper,1,0,0,0,0,0,0.7,0,Nested in a prostate CA study
12,32609979,Amoxicillin for 3 or 5 Days for Chest-Indrawing Pneumonia in Malawian Children,2020,NEJM,3000,Y,Y,Y,Low risk,"children with chest-indrawing pneumonia (cough lasting <14 days or difficulty breathing, along with visible indrawing of the chest wall with or without fast breathing for age). Children not infected with human immunodeficiency virus (HIV) who were 2 to 59 months of age and had chest-indrawing pneumonia were randomly assigned to receive amoxicillin twice daily for either 3 days or 5 days",arbitrary durations,1,N,N,2898,1497,1503,1442,1456,0,0,3,5,Not reported,Not reported,NA,NA,NA,mITT,NA,PY,NA,Low risk,Low risk,Low risk,Y,NA,NA,NA,Low risk,treatment failure,"total follow up 14 days, outcome determined on day 6",N,N,N,NA,NA,Low risk,Y,N,N,Low risk,Low risk,non-inferiority,1.5,mITT,NA,0,NA,NA,relative difference,Self reporting,loss to follow up,investigator initiated,clinical syndrome,High-dose oral amoxicillin was provided in 250-mg dispersible tablets (tablets dissolved in liquid) in two divided doses daily. Children in the 3-day group received amoxicillin tablets for 3 days and placebo tablets for 2 days. Children in the 5-day group received amoxicillin tablets for 5 days.,amoxicillin,amoxicillin,0,6,"total follow up 14 days, outcome determined on day 6",1,0,0,0,none,13,11,0,
13,32484534,"Effect of C-Reactive Protein-Guided Antibiotic Treatment Duration, 7-Day Treatment, or 14-Day Treatment on 30-Day Clinical Failure Rate in Patients With Uncomplicated Gram-Negative Bacteremia: A Randomized Clinical Trial",2020,JAMA,504,Y,Y,Y,Low risk,"individualized CRP-guided antibiotic treatment duration (discontinuation once CRP declined by 75% from peak; n = 170), fixed 7-day treatment duration (n = 169), or fixed 14-day treatment duration (n = 165).",treatment protocol,0,Y,Y,334,170,165,130,143,13,13,NA,NA,7,Not reported,NI,NA,NA,mITT,PP,N,Y,Some concerns,High risk,High risk,N,Y,NA,NA,Low risk,"clinical failure rate at day 30, defined as the presence of at least 1 of the following, with a non-inferiority margin of 10%: recurrent bacteremia, local suppurative complication, distant complication (growth of the same organism causing the initial bacteremia), restarting gram-negative–directed antibiotic therapy due to clinical worsening suspected to be due to the initial organism, or death due to any cause.","total follow up 90 days, primary outcome determined on day 30",N,N,Y,PY,PN,Some concerns,Y,N,N,Low risk,High risk,non-inferiority,10,mITT,PP,0,0,NA,absolute difference,Medical chart,withdrew consent,investigator initiated,culture of sterile site,Inpatient physicians followed local guidelines for antibiotic choice and administration route; a switch from intravenous to oral administration was allowed per routine practice.,various,various,1,30,"total follow up 90 days, primary outcome determined on day 30",1,1,0,1,hospital los,2,4,2,"interpretation is limited by the large noninferiority margin compared with the low observed event rate, as well as low adherence and wide range of treatment durations in the CRP-guided group."
15,30992295,"Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial",2019,Ann Rheum Dis,154,Y,Y,Y,Low risk,"eligible hospitalised patients, following a specified randomisation procedure (1:1, by computer-generated random numbers) to therapy with systemic antibiotic agents for either 2 weeks (±3 days) or 4 weeks (±3 days).",arbitrary durations,0,Y,Y,85,77,77,not reported,not reported,not reported,not reported,14,28,14,28,NI,NA,NA,ITT,PP,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,"rates of remission of infection. Remission was defined as the complete absence of clinical, laboratory or radiological findings after a minimal follow-up of 2 months after treatment.","Remission was defined as the complete absence of clinical, laboratory or radiological findings after a minimal follow-up of 2 months after treatment.",N,PN,Y,PY,PN,Some concerns,Y,PY,N,High risk,High risk,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,Medical chart,not reported,investigator initiated,NA,"The most frequently administered parenteral antibiotics were co-amoxiclav (n=71), ceftriaxone (n=3) and vancomycin (n=4). Overall, we administered parenteral β-lactam antibiotics in 107 (69%) cases. The oral antibiotics prescribed were co-amoxiclav (74), quinolones (26), clindamycin (19), doxycycline (2), co-trimoxazole (3) or a combination of above.",various,various,0,60,"Remission was defined as the complete absence of clinical, laboratory or radiological findings after a minimal follow-up of 2 months after treatment.",1,1,0,1,hospital los,4,5,0,
16,30596964,Comparison of 3 Days Amoxicillin Versus 5 Days Co-Trimoxazole for Treatment of Fast-breathing Pneumonia by Community Health Workers in Children Aged 2-59 Months in Pakistan: A Cluster-randomized Trial,2019,CID,19291,Y,Y,Y,Low risk,"treated fast-breathing pneumonia as per the LHW program standard of care [15], using oral co-trimoxazole at 40 mg sulphamethoxazole/8mg trimethoprim/kg/day (200mg sulphamethoxazole/40mg trimethoprim/5 ml), given twice daily for 5 days. In the intervention clusters, LHWs treated fast-breathing pneumonia for 3 days with oral amoxicillin at 50mg/kg/day (250mg/5ml), given twice daily.",arbitrary durations,0,Y,Y,15662,11230,8061,9153,6509,47,1418,3,5,Not reported,Not reported,NI,NA,NA,PP,ITT,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,treatment failure,Day 4 (Primary Outcome Intervention) and Day 6 (Primary Outcome Control),N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,High risk,equivalency,plus minus 5,PP,ITT,1,0,NA,absolute difference,"Self reporting, check medication",protocol deviation,investigator initiated,clinical syndrome,,Amoxicillin,Bactrim,0,6,Day 4 (Primary Outcome Intervention) and Day 6 (Primary Outcome Control),1,0,0,1,0,4,9,0,
17,31585944,"Penicillin V four times daily for five days versus three times daily for 10 days in patients with pharyngotonsillitis caused by group A streptococci: randomised controlled, open label, non-inferiority study",2019,BMJ,433,Y,Y,Y,Low risk,"Patients aged 6 years and over with pharyngotonsillitis caused by group A streptococci and three or four Centor criteria (fever ≥38.5°C, tender lymph nodes, coatings of the tonsils, and absence of cough).
  
  Interventions
  Penicillin V 800 mg four times daily for five days (total 16 g) compared with the current recommended dose of 1000 mg three times daily for 10 days (total 30 g)",arbitrary durations,0,Y,Y,422,215,218,202,195,Reported in proportions of doses taken,Reported in proportions of doses taken,5,10,Not reported,Not reported,NI,NA,NA,PP,mITT,PY,NA,Some concerns,Low risk,Some concerns,Y,NA,NA,NA,Low risk,clinical cure,clinical cure five to seven days after the end of antibiotic treatment,N,PN,Y,PY,PN,Some concerns,Y,N,N,Low risk,Some concerns,non-inferiority,10,PP,mITT,0,0,NA,absolute difference,Self reporting,"withdrew consent, did not satisfy inclusion criteria",investigator initiated,"clinical syndrome, culture",,penicillin,penicillin,1,6,clinical cure five to seven days after the end of antibiotic treatment,1,1,0,1,0,10,7,0,
18,30982631,Guideline-Based Clinical Assessment Versus Procalcitonin-Guided Antibiotic Use in Pneumonia: A Pragmatic Randomized Trial,2019,Ann Emerg Med,285,Y,Y,Y,Low risk,procalcitonin-guided or clinical assessment group,inflammatory markers,0,Y,Y,262,142,143,108,143,34,0,NA,NA,9,10,NI,NA,NA,ITT,mITT,N,Y,Some concerns,High risk,High risk,Y,NA,NA,NA,Low risk,total days of antibiotic exposure within 30 days after ED admission in the intention-to-treat population,total days of antibiotic exposure within 30 days after ED admission in the intention-to-treat population,N,N,Y,PN,NA,Low risk,Y,N,N,Low risk,High risk,superiority,NA,ITT,mITT,0,NA,NA,duration of antibiotic,Medical chart,"enrolment error, other diagnosis",investigator initiated,clinical syndrome,"Antibiotics administered in the ED included amoxicillin (clinical assessment group 32 [22%], procalcitonin group 26 [18%]), amoxicillin-clavulanate (clinical assessment group 62 [43%], procalcitonin group 57 [40%]), a fluoroquinolone (clinical assessment group 7 [5%], procalcitonin group 5 [3%]), ceftriaxone (clinical assessment group 42 [29%], procalcitonin group 38 [27%]), and others (clinical assessment group 18 [13%], procalcitonin group 26 [18%]).",various,various,0,30,total days of antibiotic exposure within 30 days after ED admission in the intention-to-treat population,1,0,0,0,hospital los,8,8,2,
