No,PMID,title,year,journal,age_grp,interven,interven_type,blind_all,source_cont_required,source_cont_done,cond_specific,cond_cat,sterile_site,n_randomised,setting,country,income,short_protocol,long_protocol,short_actual,long_actual,rand_process,hypothesis,margin,pri_analysis_population,sec_analysis_pop,diffshown_ITT,diffshown_PP,arm_clinicalsuperior,outcome_measure,sample_size_calculated,didnotmeetcalculatedsamplesize,RoB2,n_short_randomised,n_long_randomised,n_analysed,n_adherent_short,n_adherent_long,shortXlong,longXshort,adhere_monitor,excl_prianalysis_reason,funding,diagnosis,abx_specific,abx_short,abx_long,culture_directed_insome,fu_period,fu_period_note,primary_outcome,combined_outcome,obj_outcome,abxpresc_outcome,outcome_clinical,outcome_microb_clinical,outcome_microb_colonising,abx_se,outcome_economic,per_priclinicaloutcome_short,per_priclinicaloutcome_long,per_mortality,note
1,34313686,Effect of 7 vs 14 Days of Antibiotic Therapy on Resolution of Symptoms Among Afebrile Men With Urinary Tract Infection: A Randomized Clinical Trial,2021,JAMA,adult,7 days of treatment and were randomized to receive continued antibiotic therapy (n = 136) or placebo (n = 136) for days 8 to 14 of treatment.,arbitruary durations,1,0,0,afebrile men with presumed symptomatic UTI,Urinary tract infection,0,272,outpatient,USA,high,7,14,not reported,not reported,stratified randomisation,non-inferiority,10,as treated,ITT,0,NA,NA,absolute difference,1,1,0,136,136,272,131,123,0,13,Self reporting,0,investigator initiated,clinical syndrome,,"ciprofloxacin, bactrim","ciprofloxacin, bactrim",0,14,14 days after initiation of treatment,resolution of UTI symptoms by 14 days after completion of active antibiotic treatment,0,0,0,1,1,0,1,0,7,10,0,
2,33773631,"Discontinuing β-lactam treatment after 3 days for patients with community-acquired pneumonia in non-critical care wards (PTC): a double-blind, randomised, placebo-controlled, non-inferiority trial",2021,Lancet,adult,who met prespecified clinical stability criteria after 3 days of treatment with β-lactam therapy were randomly assigned (1:1) to receive β-lactam therapy (oral amoxicillin 1 g plus clavulanate 125 mg three times a day) or matched placebo for 5 extra days,arbitruary durations,1,0,0,moderately severe CAP,Lower respiratory tract infection,0,310,inpatient,France,high,3,8,not reported,not reported,stratified randomisation,non-inferiority,10,ITT,PP,0,0,NA,absolute difference,1,0,1,157,153,303,145,146,5,1,Self reporting,withdrew consent,investigator initiated,clinical syndrome,,amoxicillin/clav,amoxicillin/clav,0,15,"cure 15 days after first antibiotic intake, defined by apyrexia (temperature ≤37·8°C), resolution or improvement of respiratory symptoms, and no additional antibiotic treatment for any cause","cure 15 days after first antibiotic intake, defined by apyrexia (temperature ≤37·8°C), resolution or improvement of respiratory symptoms, and no additional antibiotic treatment for any cause",0,0,0,1,1,0,1,hospital los,23,32,2,"in our sample size calculations we anticipated a 90% cure rate; however, our actual cure rate was much lower. This difference might be due to the high variability in definitions of cure between studies leading to overestimation in our calculations"
3,33683325,"Short-Course Antimicrobial Therapy for Pediatric Community-Acquired Pneumonia
The SAFER Randomized Clinical Trial",2021,JAMA Paeds,children,5 days of high-dose amoxicillin for CAP was associated with noninferior rates of clinical cure compared with 10 days of high-dose amoxicillin,arbitruary durations,1,0,0,CAP,Lower respiratory tract infection,0,281,outpatient,Canada,high,5,10,not reported,not reported,simple randomization,non-inferiority,7.5,PP,ITT,0,0,NA,absolute difference,1,0,1,140,141,252,109,114,Not reported,not reported,Self reporting,"withdrew consent, protocol deviation",investigator initiated,clinical syndrome,,amoxicillin,amoxicillin,0,21,Clinical cure at 14 to 21 days,Clinical cure at 14 to 21 days,0,0,0,1,0,0,1,0,14,16,0,"per-protocol (PP) analysis including those participants adherent to medications (ie, >80% of antimicrobial doses taken and no additional antibiotics taken for nonpneumonia infections), and strict PP analysis including only those in the PP group whose radiographs had radiologist-confirmed pneumonia"
4,32537711,"Early Discontinuation versus Continuation of Antimicrobial Therapy in Low Risk Pediatric Cancer Patients with Febrile Neutropenia, Before Recovery of Counts: A Randomized Controlled Trial (DALFEN Study)",2021,The Indian Journal of Pediatrics,children,"After an afebrile period of at least 24 h, and confirmation of a negative blood culture report, patients with persisting neutropenia (ANC <500) were randomized between two arms
 (Arm A: stoppage of antibiotics and Arm B: oral antibiotics)",treatment protocol,0,0,NA,Febrile neutropenia,Prophylaxis (immunocompromised),0,75,outpatient,India,lower middle,NA,NA,60,Not reported (at least 60),simple randomization,non-inferiority,15,ITT,none,0,NA,NA,absolute difference,1,1,0,38,37,75,Not reported,Not reported,Not reported,Not reported,Self reporting,NA,investigator initiated,clinical syndrome,"amoxcillin, levofloxacin continued in long arm",various,various,0,Not reported,"not specified, but mean recovery of ANC in both arms were 4 days",proportion of patients remaining afebrile until ANC>500,0,1,0,1,0,0,0,0,5,5,0,"antibiotics were upgraded in those
 patients whose fever persisted/ progressed after 96 h or they
 developed signs of clinical deterioration. These patients were
 excluded from the study"
5,33904295,Comparison of Short Course Versus Long Course Antibiotic Prophylaxis for Caesarean Section: A Randomised Controlled Trial,2021,West African Journal of Medicine,adult,"The study group received intravenous dose of 1g of ceftriaxone with 500mg of metronidazole stat post umbilical cord clamping. While the control group received post-operative doses of intravenous ceftriaxone 1g 12 hourly with 500mg of metronidazole eight hourly for 24 hours, then oral cefuroxime 500mg twice daily and metronidazole 400mg thrice daily for five days.",arbitrary durations,0,0,NA,prophylaxis post caesarian section,Prophylaxis (post-surgery),0,166,inpatient,Nigeria,low,1 dose,5,Not known,Not known,Not known,non-inferiority,Not known,ITT,none,0,NA,NA,absolute difference,Not known,Not known,0,83,83,166,Not known,Not known,Not known,Not known,Medical chart,NA,Not known,NA,"study group received intravenous dose of 1g of ceftriaxone with 500mg of metronidazole stat post umbilical cord clamping. While the control group received post-operative doses of intravenous ceftriaxone 1g 12 hourly with 500mg of metronidazole eight hourly for 24 hours, then oral cefuroxime 500mg twice daily and metronidazole 400mg thrice daily for five days.","ceftriaxone, metronidazole","ceftriaxone, metronidazole, oral cefuroxime, metronidazole",0,Not reported,Not found in abstract,"proportion of patients with febrile morbidity, wound infection and clinical endometritis",0,0,0,1,0,0,0,direct cost,12,14,0,full article not found
6,34042388,Antibiotic Therapy for 6 or 12 Weeks for Prosthetic Joint Infection,2020,NEJM,adult,The patients were randomly assigned to receive 6 weeks or 12 weeks of antibiotic therapy as soon as possible after surgical debridement,arbitrary durations,0,1,1,prosthetic joint infection (hip or knee),Bone and prosthetics infection,1,410,inpatient,France,high,42,84,42,84,stratified randomisation,non-inferiority,10,mITT,PP,1,1,long,absolute difference,1,0,1,205,205,404,165,160,22,22,Self reporting,"withdrew consent, died",investigator initiated,culture of sterile site,"Among the 380 patients who received at least one oral antibiotic agent, the most frequently used agents were rifampin (267 patients [70.3%]) and fluoroquinolone (260 [68.4%]); a total of 194 patients (51.1%) received both.",various,various,1,730,"Results of clinical assessments and patient-reported outcome measures were recorded at enrollment and at 6, 12, 24, and 52 weeks after day 0 and at 104 weeks after the planned completion date of antibiotic therapy.",persistent infection within 2 years after the end of antibiotic therapy,0,0,0,1,1,0,1,hospital los,18,9,0,most of the treatment failures in the 6-week group occurred among the patients who had undergone débridement with implant retention
7,32857331,Seven versus Ten Days Antibiotics Course for Acute Pyogenic Meningitis in Children: A Randomized Controlled Trial,2021,The Indian Journal of Pediatrics,children,"A treatment comprising of ceftriaxone (100 mg/kg/d in 2
 divided doses administered every 12 h) and vancomycin
 (60 mg/kg/d in 4 divided doses administered every 6 h) as
 per the unit protocol based on recent guidelines on management of acute bacterial meningitis was initiated in all the study
 participants",arbitrary durations,0,0,NA,Meningitis,Meningitis,1,104,inpatient,India,lower middle,7,10,Not reported,Not reported,simple randomization,non-inferiority,15,mITT,none,0,NA,NA,absolute difference,1,1,0,52,52,91,45,46,Not reported,Not reported,Medical chart,loss to follow up,investigator initiated,clinical syndrome with laboratory test,"empirical ceftriaxone, vancomycin","ceftriaxone, vancomycin","ceftriaxone, vancomycin",0,14,2 weeks from discharge,"treatment failure rate, defined as lack of
 clinical improvement indicated by the presence of anyone of the
 following: fever along with meningeal signs, seizures and altered
 sensorium at the end of the therapy or relapse of meningitis,
 defined as the recurrence of signs and symptoms of meningitis
 within 2 wk of discharge from hospital.",0,0,0,1,0,0,0,none,15,13,0,"None of the cases had positive blood culture (>50% has antibiotics prior to admission)
 or CSF culture."
8,33904798,"The Duration of Antibiotics Prophylaxis at the Time of Catheter Removal after Radical Prostatectomy: Clinically-Integrated, Cluster, Randomized Trial",2021,J Uro,adult,"prescribe 1-day vs 3-day regimen of prophylactic antibiotics at the time
 of catheter removal.",arbitrary durations,0,1,1,"Antibiotics Prophylaxis at the Time of Catheter
 Removal after Radical Prostatectomy",Prophylaxis (post-surgery),0,824,outpatient,USA,high,1,3,Not reported,Not reported,cluster randomisation,non-inferiority,0.35,ITT,PP,0,0,NA,absolute difference,1,0,1,389,435,800,336,406,33,15,Self reporting,NA,investigator initiated,NA,,Ciprofloxacin,Ciprofloxacin,0,Not reported,Not mentioned in the paper,UTI,0,0,0,1,0,0,0,0,0,0.7,0,Nested in a prostate CA study
9,34006044,Efficacy and safety of the point-of-care procalcitonin test for determining the antibiotic treatment duration in patients with ventilator-associated pneumonia in the intensive care unit: a randomised controlled trial,2021,Anaesthesiology Intensive Therapy,adult,"Patients ventilated
 for > 48 hours who had CPISs > 5 were enrolled in
 the study. The patients were randomised to PCT
 and control groups. For the PCT group, 2 mL blood
 samples were withdrawn from each patient and
 kept in an ethylene diamine tetraacetic acid bottle.
 The sample was immediately analysed by the investigator using the Finecare Plus analyser (Wondfo,
 Guangzhou, China), and the results were available
 after 15 minutes. The serial PCT levels were monitored on days 1, 3, 7 and 9. In the control group, serial CRP levels were monitored in accordance with
 the physician’s decision",inflammatory markers,0,0,NA,VAP,Lower respiratory tract infection,0,100,ICU,Malaysia,upper middle,NA,NA,10.28,11.52,simple randomization,superiority,NA,PP,none,NA,0,NA,duration of antibiotic,0,Not known,0,50,50,85,31,42,12,Not reported,Medical chart,"MDRO, loss to follow up",investigator initiated,clinical syndrome,"No specific antibiotics were allocated to both
groups. The antibiotic selection was entirely at the
attending physician’s discretion based on either
the sensitivity of the organism or as empirical treatment.",various,various,0,NA,during admission,antibiotic duration,0,1,1,0,0,0,0,hospital los,not reported,not reported,12,
10,34097231,"Ten Versus 14 Days of Antibiotic Therapy in Culture-Proven Neonatal Sepsis: A Randomized, Controlled Trial",2021,The Indian Journal of Pediatrics,neonate,All the eligible neonates who met all the inclusion criteria and none of the exclusion criteria were randomized at the end of 10th day of antibiotics.,arbitrary durations,0,0,NA,culture-positive sepsis,Bloodstream infection,1,70,ICU,India,lower middle,10,14,10,14,simple randomization,non-inferiority,not reported,ITT,NA,0,NA,NA,not reported,0,NA,0,35,35,68,34,34,0,0,Medical chart,loss to follow up,investigator initiated,culture of sterile site,,various,various,1,28,readmission to the NICU within 4 wk of discharge with blood culture growing same organism with similar antibiogram or any readmission with signs of sepsis with negative blood culture.,readmission to the NICU within 4 wk of discharge with blood culture growing same organism with similar antibiogram or any readmission with signs of sepsis with negative blood culture.,0,0,0,1,1,0,0,hospital los,3,0,0,pilot study
