,relevent,dur_trial,reason_exclude,Comments,short_dur,long_dur,fu_period,PMID,title,,,,,,,,,,,,,,,,,
7,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,10782908,Amoxicillin-clavulanic acid versus cefotaxime in the therapy of bacterial infections in cirrhotic patients,,,,,,,,,,,,,,,,,
8,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,10792117,Rifaximin versus chlortetracycline in the short-term treatment of small intestinal bacterial overgrowth,,,,,,,,,,,,,,,,,
9,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,10811678,Rifampin does not improve the efficacy of quinolone antibacterial prophylaxis in neutropenic cancer patients: results of a randomized clinical trial,,,,,,,,,,,,,,,,,
11,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,10858333,Clinical efficacy of intravenous followed by oral azithromycin monotherapy in hospitalized patients with community-acquired pneumonia. The Azithromycin Intravenous Clinical Trials Group,,,,,,,,,,,,,,,,,
19,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,10981242,Cefepime versus ceftazidime as empiric therapy for fever in neutropenic patients with cancer,,,,,,,,,,,,,,,,,
23,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11049707,"A prospective, randomized, double-blind studyof single high dose versus multiple standard dose gentamicin both in combination withmetronidazole for colorectal surgicalprophylaxis",,,,,,,,,,,,,,,,,
26,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11073141,Cefminox versus metronidazole plus gentamicin intra-abdominal infections: a prospective randomized controlled clinical trial,,,,,,,,,,,,,,,,,
31,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11190646,[Prospective multicenter comparative study of the management of peritonitis. Quality assurance in severe intra-abdominal infection],,,,,,,,,,,,,,,,,
36,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11258785,Treatment of nosocomial postoperative pneumonia in cancer patients: a prospective randomized study,,,,,,,,,,,,,,,,,
39,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11303823,"Randomized, controlled trial comparing once daily and three times daily gentamicin in children with urinary tract infections",,,,,,,,,,,,,,,,,
40,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11303851,Comparative study of cefepime versus ceftazidime in the empiric treatment of pediatric cancer patients with fever and neutropenia,,,,,,,,,,,,,,,,,
43,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11389117,Meropenem versus ceftazidime as empirical monotherapy in febrile neutropenia of paediatric patients with cancer,,,,,,,,,,,,,,,,,
44,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11389491,"Randomized, double-blind, controlled study of cefoperazone-sulbactam plus cotrimoxazole versus ceftazidime plus cotrimoxazole for the treatment of severe melioidosis",,,,,,,,,,,,,,,,,
46,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11428270,[Antibiotic prophylaxis in oncologic pharyngolaryngeal surgery: ceftriaxone versus clindamycin and gentamycin],,,,,,,,,,,,,,,,,
47,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11430537,"Neostigmine resolves critical illness-related colonic ileus in intensive care patients with multiple organ failure - A prospective, double-blind, placebo-controlled trial",,,,,,,,,,,,,,,,,
50,0,0,Intervention (not antibiotics or duration),"No vancomycin-resistant enterococci (VRE) were isolated in either hospital before, during, or after the study. No increase in the number of patients colonized or infected with microorganisms resistant to gentamicin was observed during the study. Separate ",0 days of oral decontamination but about 1 course of antibiotics,10 days of decontamination therapy + one course of antibiotics,NA,11500337,"Prevention of ventilator-associated pneumonia by oral decontamination: a prospective, randomized, double-blind, placebo-controlled study",,,,,,,,,,,,,,,,,
51,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11535952,A comparative study of cefaclor vs. amoxicillin/clavulanate in tonsillopharyngitis,,,,,,,,,,,,,,,,,
52,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11591895,Once-daily versus multiple-daily gentamicin in infants and children,,,,,,,,,,,,,,,,,
56,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11699402,A randomized prospective multicentre trial of cefpirome versus piperacillin-tazobactam in febrile neutropenia,,,,,,,,,,,,,,,,,
58,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11720319,A randomized clinical trial of ciprofloxacin and metronidazole to treat acute pouchitis,,,,,,,,,,,,,,,,,
61,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11735011,Efficacy of oral ofloxacin for single-dose perioperative prophylaxis in general surgery--a controlled randomized clinical study,,,,,,,,,,,,,,,,,
62,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11735866,Results of a pilot trial comparing prolonged intravenous antibiotics with sequential intravenous/oral antibiotics for children with perforated appendicitis,,,,,,,,,,,,,,,,,
66,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11757832,Intraperitoneal ciprofloxacin and rifampicin versus cephradine as initial treatment of (C)APD-related peritonitis: a prospective randomized multicenter comparison (CIPPER trial),,,,,,,,,,,,,,,,,
67,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11760163,"Comparison of cefepime and ceftazidime in combination with amikacin in the empirical treatment of high-risk patients with febrile neutropenia: a prospective, randomized, multicenter study",,,,,,,,,,,,,,,,,
68,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11776118,"A randomized controlled clinical trial on etimicin, a new aminoglycoside antibiotic, versus netilmicin in the treatment of bacterial infections",,,,,,,,,,,,,,,,,
71,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11833836,Clinafloxacin versus piperacillin/tazobactam in the treatment of severe skin and soft-tissue infections in adults at a Veterans Affairs medical center,,,,,,,,,,,,,,,,,
74,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11885177,The influence of preoperative antibiotics on success of endosseous implants at 36 months,,,,,,,,,,,,,,,,,
76,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11914996,"A study evaluating the efficacy, safety, and tolerability of ertapenem versus ceftriaxone for the treatment of community-acquired pneumonia in adults",,,,,,,,,,,,,,,,,
81,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,11991693,Skin closure after infrainguinal bypass surgery: A prospective randomised study,,,,,,,,,,,,,,,,,
82,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12005083,Cefepime versus ceftazidime as empiric monotherapy for fever and neutropenia in children with cancer,,,,,,,,,,,,,,,,,
85,0,0,Intervention (not antibiotics or duration),,NA,NA,NA,12015692,"Ertapenem once daily versus piperacillin-tazobactam 4 times per day for treatment of complicated skin and skin-structure infections in adults: results of a prospective, randomized, double-blind multicenter study",,,,,,,,,,,,,,,,,
