"","relevancy","reason_exclude","comments","meandur_short","meandur_long","fu_dur","PMID","Title.x"
"1",0,"Study design (not RCT)","",NA,NA,NA,10602739,"Ciprofloxacin, lomefloxacin, or levofloxacin as treatment for chronic osteomyelitis"
"2",0,"Resistance during f/u not included","",NA,NA,NA,10634735,"Penicillin for acute sore throat: randomised double blind trial of seven days versus three days treatment or placebo in adults"
"3",0,"Resistance during f/u not included","",NA,NA,NA,10657866,"Oral ciprofloxacin vs. intravenous ceftriaxone administered in an outpatient setting for fever and neutropenia in low-risk pediatric oncology patients: randomized prospective trial"
"4",0,"Resistance during f/u not included","",NA,NA,NA,10735395,"Comparison of ciprofloxacin (7 days) and trimethoprim-sulfamethoxazole (14 days) for acute uncomplicated pyelonephritis pyelonephritis in women: a randomized trial"
"5",0,"Resistance during f/u not included","",NA,NA,NA,10737842,"Amoxicillin for fever and sore throat due to non-exudative pharyngotonsillitis: beneficial or harmful?"
"6",0,"Resistance during f/u not included","",NA,NA,NA,10749463,"Randomized trial of four vs. seven days of ceftriaxone treatment for bacterial meningitis in children with rapid initial recovery"
"7",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,10782908,"Amoxicillin-clavulanic acid versus cefotaxime in the therapy of bacterial infections in cirrhotic patients"
"8",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,10792117,"Rifaximin versus chlortetracycline in the short-term treatment of small intestinal bacterial overgrowth"
"9",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,10811678,"Rifampin does not improve the efficacy of quinolone antibacterial prophylaxis in neutropenic cancer patients: results of a randomized clinical trial"
"10",0,"Resistance during f/u not included","",NA,NA,NA,10819344,"Five vs. ten days of antibiotic therapy for acute otitis media in young children"
"11",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,10858333,"Clinical efficacy of intravenous followed by oral azithromycin monotherapy in hospitalized patients with community-acquired pneumonia. The Azithromycin Intravenous Clinical Trials Group"
"12",0,"Resistance during f/u not included","",NA,NA,NA,10877166,"Treatment of shigellosis with cefixime: two days vs. five days"
"13",0,"Resistance during f/u not included","",NA,NA,NA,10933649,"Comparative efficacy of 5 days of dirithromycin and 7 days of erythromycin in skin and soft tissue infections"
"14",1,"","Antimicrobial resistance and/or superinfections were documented in 15% (5 of 37) of the patients in the experimental and 35% (14 of 37) of the patients in the control group (p = 0.017, Table 5). Microorganisms associated with superinfections or resistance are outlined in Table 5. In all study patients, including those who died prior to 7 d, antimicrobial resistance and/or superinfections occurred in 13% (5 of 39) of the patients in the experimental and 33% (14 of 42) in the standard therapy group (p = 0.025).","3","10-21 days","28",10934078,"Short-course empiric antibiotic therapy for patients with pulmonary infiltrates in the intensive care unit. A proposed solution for indiscriminate antibiotic prescription"
"15",0,"Resistance during f/u not included","",NA,NA,NA,10940175,"A randomized controlled trial of azithromycin and amoxycillin/clavulanate in the management of subacute childhood rhinosinusitis"
"16",0,"Resistance during f/u not included","",NA,NA,NA,10975012,"Treatment of bacillary dysentery in Vietnamese children: two doses of ofloxacin versus 5-days nalidixic acid"
"17",NA,NA,NA,NA,NA,NA,10980160,"Selective digestive decontamination in patients in intensivecare"
"18",1,"","early eradication of non-typhoid salmonellae increases with duration of ofloxacin therapy without an increase in persistence of salmonellae in stools or development of resistant strains.","5","10","42",10980174,"Eradication of non-typhoid salmonellae in acute enteritis after therapy with ofloxacin for 5 or 10 days"
"19",0,"Intervention (not antibiotics or duration)","",NA,NA,NA,10981242,"Cefepime versus ceftazidime as empiric therapy for fever in neutropenic patients with cancer"
