"","PMID","title","Publication.Year","relevent","dur_trial","reason_exclude","Comments","short_dur","long_dur","fu_period"
"1",62992,"Comparative efficacy of chloramphenicol, ampicillin, and co-trimoxazole in the treatment of typhoid fever",1976,NA,NA,NA,NA,NA,NA,NA
"2",79761,"Co-trimoxazole for prevention of infection in acute leukaemia",1978,NA,NA,NA,NA,NA,NA,NA
"3",127815,"Comparison of trimethoprim-sulfamethoxazole and amoxicillin in therapy of chloramphenicol-resistant and chloramphenicol-sensitive typhoid fever",1975,NA,NA,NA,NA,NA,NA,NA
"4",321709,"A double-blind comparison of clindamycin with penicillin plus chloramphenicol in treatment of septic abortion",1977,NA,NA,NA,NA,NA,NA,NA
"5",322789,"The treatment of acute superficial abscesses: a prospective clinical trial",1977,NA,NA,NA,NA,NA,NA,NA
"6",333607,"Open-heart surgery",1977,NA,NA,NA,NA,NA,NA,NA
"7",350565,"Tinidazole and metronidazole in hepatic amoebiasis",1978,NA,NA,NA,NA,NA,NA,NA
"8",368364,"Antimicrobial vs placebo prophylaxis in noncardiac thoracic surgery",1979,NA,NA,NA,NA,NA,NA,NA
"9",371741,"Randomized controlled trial of cefuroxime for established postoperative respiratory infection",1979,NA,NA,NA,NA,NA,NA,NA
"10",380336,"Duration of empiric antibiotic therapy in granulocytopenic patients with cancer",1979,NA,NA,NA,NA,NA,NA,NA
"11",380595,"[Treatment of typhoid fever with chloramphenicol or ampicillin combined with oxyphenbutazone]",1979,NA,NA,NA,NA,NA,NA,NA
"12",380912,"Levamisole (R 12564) in the prevention of recurrent upper respiratory tract infections in children: a double-blind, placebo-controlled study",1979,NA,NA,NA,NA,NA,NA,NA
"13",385400,"A placebo controlled, double-blind evaluation of levamisole in the reduction of the frequency, duration and severity of attacks in children suffering from recurrent upper respiratory tract infections",1979,NA,NA,NA,NA,NA,NA,NA
"14",402697,"Penicillin V therapy for streptococcal pharyngitis: comparison of dosage schedules",1977,NA,NA,NA,NA,NA,NA,NA
