study_no,PMID,title,country,setting,study_type,abx_tx_site,colonisation_site,abx_type,abx_route,resistance_type,bacteria_reported,cluster_rand,n_cluster,abx_dur,n_ind_contributedsamples,n_sample,time_baseline_endoffu,los,n_ind_outcome,n_possample_outcome,comments,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,NA,NA,Aminoglycoside,Gram negatives,1,13,0,171,1028,Point prevalence surveys,9,10,Not reported,"The use of antibiotics with antianaerobic activity, such as amoxicillin, penicillin, amoxicillin–clavulanic acid, and carbapenems, was discouraged during the SDD period. Surveillance cultures of endotracheal aspirates and oropharyngeal and rectal swabs we",,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,NA,NA,Fluoroquinolone,Gram negatives,1,13,0,171,1028,Point prevalence surveys,9,10.8,Not reported,"los = length of stay, will be used to calculate time at risk",,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,NA,NA,Cephalosporin,Gram negatives,1,13,0,171,1028,Point prevalence surveys,9,12.82,Not reported,"Because surveillance was done in ICU, los for ICU is taken",,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,NA,NA,Multiresistant,Gram negatives,1,13,0,171,1028,Point prevalence surveys,9,7.1,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Aminoglycoside,Gram negatives,1,13,4,165,988,Point prevalence surveys,9,4.1,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Fluoroquinolone,Gram negatives,1,13,4,165,988,Point prevalence surveys,9,4.8,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Cephalosporin,Gram negatives,1,13,4,165,988,Point prevalence surveys,9,4.12,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Gut,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Multiresistant,Gram negatives,1,13,4,165,988,Point prevalence surveys,9,3.4,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,NA,NA,Aminoglycoside,Gram negatives,1,13,0,149,891,Point prevalence surveys,9,7.4,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,NA,NA,Fluoroquinolone,Gram negatives,1,13,0,149,891,Point prevalence surveys,9,8.2,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,NA,NA,Cephalosporin,Gram negatives,1,13,0,149,891,Point prevalence surveys,9,10.2,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,NA,NA,Multiresistant,Gram negatives,1,13,0,149,891,Point prevalence surveys,9,7.1,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Aminoglycoside,Gram negatives,1,13,4,149,894,Point prevalence surveys,9,12.6,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Fluoroquinolone,Gram negatives,1,13,4,149,894,Point prevalence surveys,9,1.9,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Cephalosporin,Gram negatives,1,13,4,149,894,Point prevalence surveys,9,1.6,Not reported,,,,,,,,
1,19118302,Decontamination of the digestive tract and oropharynx in ICU patients,Netherlands,ICU,SDD,Gut,Respiratory tract,"Combination (cefotaxime, tobramycin, colistin, amphotericin B)",Oral and IV,Multiresistant,Gram negatives,1,13,4,149,894,Point prevalence surveys,9,1,Not reported,,,,,,,,
2,18454864,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",France,ICU,Treatment for infection,Respiratory tract,Respiratory tract,NA,NA,Ceftazidime or imipenem-resistant,Gram negatives,0,NA,0,26,Not reported,36,NA,5,Not reported,followed up until ICU discharge or 28 days after random assignment if they were discharged from the ICU before,,,,,,,
2,18454864,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",France,ICU,Treatment for infection,Respiratory tract,Respiratory tract,NA,NA,Meticillin,Staph aureus,0,NA,0,26,Not reported,36,NA,0,Not reported,Used length of ICU tsays reported in table 6,,,,,,,
2,18454864,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",France,ICU,Treatment for infection,Respiratory tract,Respiratory tract,NA,NA,ESBL-producing ,Gram negatives,0,NA,0,26,Not reported,36,NA,3,Not reported,,,,,,,,
2,18454864,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",France,ICU,Treatment for infection,Respiratory tract,Respiratory tract,Culture directed,IV,Ceftazidime or imipenem-resistant,Gram negatives,0,NA,8,18,Not reported,40,NA,3,Not reported,,,,,,,,
2,18454864,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",France,ICU,Treatment for infection,Respiratory tract,Respiratory tract,Culture directed,IV,Meticillin,Staph aureus,0,NA,8,18,Not reported,40,NA,1,Not reported,,,,,,,,
2,18454864,"Antimicrobial treatment for ventilator-associated tracheobronchitis: a randomized, controlled, multicenter study",France,ICU,Treatment for infection,Respiratory tract,Respiratory tract,Culture directed,IV,ESBL-producing ,Gram negatives,0,NA,8,18,Not reported,40,NA,2,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,NA,NA,Penicillin,Pneumococcus,0,NA,0,795,Not reported,1,NA,210,Not reported,Baseline,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,NA,NA,Amoxicillin,Pneumococcus,0,NA,0,795,Not reported,1,NA,3,Not reported,,,,,,,,
3,11434826,"Effect of short-course, high-dose amoxicillin therapy on resistant pneumococcal carriage: a randomized trial",Dominican Republic,Outpatient,Treatment for infection,Respiratory tract,Respiratory tract,NA,NA,Trimethoprim-sulfamethoxazole,Pneumococcus,0,NA,0,795,Not reported,1,NA,157,Not reported,,,,,,,,
