"Title","Medline PMID","PUI"
"Effect of Once-Weekly Azithromycin vs Placebo in Children with HIV-Associated Chronic Lung Disease: The BREATHE Randomized Clinical Trial",33331916,L633707107
"Weekly Sequential Antibioprophylaxis for Recurrent Urinary Tract Infections among Patients with Neurogenic Bladder: A Randomized Controlled Trial",31867616,L2010909298
"Three versus six weeks of antibiotic therapy for diabetic foot osteomyelitis: A prospective, randomized, non-inferiority pilot trial",33242083,L633536176
"One week of levofloxacin plus dexamethasone eye drops for cataract surgery: an innovative and rational therapeutic strategy",32366996,L2004838738
"Dolutegravir-based and low-dose efavirenz-based regimen for the initial treatment of HIV-1 infection (NAMSAL): week 96 results from a two-group, multicentre, randomised, open label, phase 3 non-inferiority trial in Cameroon",33010241,L2007960817
"A comparative effectiveness pilot study of teriparatide for medication-related osteonecrosis of the jaw: daily versus weekly administration",31768589,L2003741350
"Changes in respiratory symptoms during 48-week treatment with ARD-3150 (inhaled liposomal ciprofloxacin) in bronchiectasis: Results from the ORBIT-3 and -4 studies",32554534,L2008509650
"Two-week bismuth-containing quadruple therapy and concomitant therapy are effective first-line treatments for Helicobacter pylori eradication: A prospective open-label randomized trial",31857780,L2004475169
"Microbiological changes observed over 48 weeks of treatment with inhaled liposomal ciprofloxacin in individuals with non-cystic fibrosis bronchiectasis and chronic Pseudomonas aeruginosa lung infection",31035017,L2001963491
"The importance of continued follow-up in cancer trials: Results from the TEAMM myeloma trial assessing the benefit of 12 weeks levofloxacin prophylaxis on febrile episodes or deaths",,L629760342
"Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial",30992295,L627292234
"Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial",31106353,L627911312
"Bolus weekly Vitamin D3 supplementation impacts gut and airway microbiota in adults with cystic fibrosis: A double-blind, randomized, placebo-controlled clinical trial",29161417,L620677653
"Comparison of helicobacter pylori eradication rates of 2-week levofloxacin-containing triple therapy, levofloxacin-containing bismuth quadruple therapy, and standard bismuth quadruple therapy as a first-line regimen",29131124,L620884798
"Atazanavir/ritonavir with lamivudine as maintenance therapy in virologically suppressed HIV-infected patients: 96 week outcomes of a randomized trial",29668978,L623152404
"Effects of long-term weekly iron and folic acid supplementation on lower genital tract infection - a double blind, randomised controlled trial in Burkina Faso",29166928,L619343392
"Efficacy of 1st-line bismuth-containing quadruple therapies with levofloxacin or clarithromycin for the eradication of Helicobacter pylori infection: A 1-week, open-label, randomized trial",28207505,L614563188
