PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31421272","The effects of topical antibiotics on eradication and acquisition of third-generation cephalosporin and carbapenem-resistant Gram-negative bacteria in ICU patients; a post hoc analysis from a multicentre cluster-randomized trial","Plantinga NL, Wittekamp BHJ, Brun-Buisson C, Bonten MJM; R-GNOSIS ICU study group.","Clin Microbiol Infect. 2020 Apr;26(4):485-491. doi: 10.1016/j.cmi.2019.08.001. Epub 2019 Aug 14.","Plantinga NL","Clin Microbiol Infect","2020","2019/08/18","","","10.1016/j.cmi.2019.08.001"
"30347072","Decontamination Strategies and Bloodstream Infections With Antibiotic-Resistant Microorganisms in Ventilated Patients: A Randomized Clinical Trial","Wittekamp BH, Plantinga NL, Cooper BS, Lopez-Contreras J, Coll P, Mancebo J, Wise MP, Morgan MPG, Depuydt P, Boelens J, Dugernier T, Verbelen V, Jorens PG, Verbrugghe W, Malhotra-Kumar S, Damas P, Meex C, Leleu K, van den Abeele AM, Gomes Pimenta de Matos AF, Fernández Méndez S, Vergara Gomez A, Tomic V, Sifrer F, Villarreal Tello E, Ruiz Ramos J, Aragao I, Santos C, Sperning RHM, Coppadoro P, Nardi G, Brun-Buisson C, Bonten MJM.","JAMA. 2018 Nov 27;320(20):2087-2098. doi: 10.1001/jama.2018.13765.","Wittekamp BH","JAMA","2018","2018/10/23","PMC6583563","","10.1001/jama.2018.13765"
"30061768","Evaluating the Efficacy of Nanosil Mouthwash on the Preventing Pulmonary Infection in Intensive Care Unit: a Randomized Clinical Trial","Khaky B, Yazdannik A, Mahjobipoor H.","Med Arch. 2018 Jun;72(3):206-209. doi: 10.5455/medarh.2018.72.206-209.","Khaky B","Med Arch","2018","2018/08/01","PMC6021149","","10.5455/medarh.2018.72.206-209"
"28594615","Oral decontamination techniques and ventilator-associated pneumonia","Chacko R, Rajan A, Lionel P, Thilagavathi M, Yadav B, Premkumar J.","Br J Nurs. 2017 Jun 8;26(11):594-599. doi: 10.12968/bjon.2017.26.11.594.","Chacko R","Br J Nurs","2017","2017/06/09","","","10.12968/bjon.2017.26.11.594"
"28320561","The effects of oral rinse with 0.2% and 2% chlorhexidine on oropharyngeal colonization and ventilator associated pneumonia in adults' intensive care units","Zand F, Zahed L, Mansouri P, Dehghanrad F, Bahrani M, Ghorbani M.","J Crit Care. 2017 Aug;40:318-322. doi: 10.1016/j.jcrc.2017.02.029. Epub 2017 Mar 1.","Zand F","J Crit Care","2017","2017/03/22","","","10.1016/j.jcrc.2017.02.029"
"26448616","Antibiotic-Induced Within-Host Resistance Development of Gram-Negative Bacteria in Patients Receiving Selective Decontamination or Standard Care","Noteboom Y, Ong DS, Oostdijk EA, Schultz MJ, de Jonge E, Purmer I, Bergmans D, Fijen JW, Kesecioglu J, Bonten MJ.","Crit Care Med. 2015 Dec;43(12):2582-8. doi: 10.1097/CCM.0000000000001298.","Noteboom Y","Crit Care Med","2015","2015/10/09","","","10.1097/CCM.0000000000001298"
"25442396","Effectiveness of stringent decontamination of computer input devices in the era of electronic medical records and bedside computing: a randomized controlled trial","Codish S, Toledano R, Novack V, Sherf M, Borer A.","Am J Infect Control. 2015 Jun;43(6):644-6. doi: 10.1016/j.ajic.2014.09.011. Epub 2014 Nov 1.","Codish S","Am J Infect Control","2015","2014/12/03","","","10.1016/j.ajic.2014.09.011"
"25271544","Effects of decontamination of the oropharynx and intestinal tract on antibiotic resistance in ICUs: a randomized clinical trial","Oostdijk EAN, Kesecioglu J, Schultz MJ, Visser CE, de Jonge E, van Essen EHR, Bernards AT, Purmer I, Brimicombe R, Bergmans D, van Tiel F, Bosch FH, Mascini E, van Griethuysen A, Bindels A, Jansz A, van Steveninck FAL, van der Zwet WC, Fijen JW, Thijsen S, de Jong R, Oudbier J, Raben A, van der Vorm E, Koeman M, Rothbarth P, Rijkeboer A, Gruteke P, Hart-Sweet H, Peerbooms P, Winsser LJ, van Elsacker-Niele AW, Demmendaal K, Brandenburg A, de Smet AMGA, Bonten MJM.","JAMA. 2014 Oct 8;312(14):1429-1437. doi: 10.1001/jama.2014.7247.","Oostdijk EAN","JAMA","2014","2014/10/02","","","10.1001/jama.2014.7247"
"24464791","Mupirocin/chlorexidine to prevent methicillin-resistant Staphylococcus aureus infections: post hoc analysis of a placebo-controlled, randomized trial using mupirocin/chlorhexidine and polymyxin/tobramycin for the prevention of acquired infections in intubated patients","Camus C, Sebille V, Legras A, Garo B, Renault A, Le Corre P, Donnio PY, Gacouin A, Perrotin D, Le Tulzo Y, Bellissant E.","Infection. 2014 Jun;42(3):493-502. doi: 10.1007/s15010-013-0581-1. Epub 2014 Jan 25.","Camus C","Infection","2014","2014/01/28","","","10.1007/s15010-013-0581-1"
"23815730","Effects of decontamination of the digestive tract and oropharynx in intensive care unit patients on 1-year survival","Oostdijk EA, de Smet AM, Bonten MJ; Dutch SOD-SDD trialists group.","Am J Respir Crit Care Med. 2013 Jul 1;188(1):117-20. doi: 10.1164/rccm.201209-1733LE.","Oostdijk EA","Am J Respir Crit Care Med","2013","2013/07/03","","","10.1164/rccm.201209-1733LE"
