"Title","Publication Year","Medline PMID","PUI"
"Efficacy of two-week therapy with doxycycline-based quadruple regimen versus levofloxacin concomitant regimen for helicobacter pylori infection: a prospective single-center randomized controlled trial","2021",34218802,L2013051677
"Antibiotic therapy for 6 or 12 weeks for prosthetic joint infection","2021",34042388,L635123891
"Effect of Once-Weekly Azithromycin vs Placebo in Children with HIV-Associated Chronic Lung Disease: The BREATHE Randomized Clinical Trial","2020",33331916,L633707107
"Weekly Sequential Antibioprophylaxis for Recurrent Urinary Tract Infections among Patients with Neurogenic Bladder: A Randomized Controlled Trial","2020",31867616,L2010909298
"Three versus six weeks of antibiotic therapy for diabetic foot osteomyelitis: A prospective, randomized, non-inferiority pilot trial","2020",33242083,L633536176
"One week of levofloxacin plus dexamethasone eye drops for cataract surgery: an innovative and rational therapeutic strategy","2020",32366996,L2004838738
"Dolutegravir-based and low-dose efavirenz-based regimen for the initial treatment of HIV-1 infection (NAMSAL): week 96 results from a two-group, multicentre, randomised, open label, phase 3 non-inferiority trial in Cameroon","2020",33010241,L2007960817
"A comparative effectiveness pilot study of teriparatide for medication-related osteonecrosis of the jaw: daily versus weekly administration","2020",31768589,L2003741350
"Changes in respiratory symptoms during 48-week treatment with ARD-3150 (inhaled liposomal ciprofloxacin) in bronchiectasis: Results from the ORBIT-3 and -4 studies","2020",32554534,L2008509650
"Two-week bismuth-containing quadruple therapy and concomitant therapy are effective first-line treatments for Helicobacter pylori eradication: A prospective open-label randomized trial","2019",31857780,L2004475169
"Microbiological changes observed over 48 weeks of treatment with inhaled liposomal ciprofloxacin in individuals with non-cystic fibrosis bronchiectasis and chronic Pseudomonas aeruginosa lung infection","2019",31035017,L2001963491
"The importance of continued follow-up in cancer trials: Results from the TEAMM myeloma trial assessing the benefit of 12 weeks levofloxacin prophylaxis on febrile episodes or deaths","2019",,L629760342
"Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial","2019",30992295,L627292234
"Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial","2019",31106353,L627911312
"Bolus weekly Vitamin D3 supplementation impacts gut and airway microbiota in adults with cystic fibrosis: A double-blind, randomized, placebo-controlled clinical trial","2018",29161417,L620677653
"Comparison of helicobacter pylori eradication rates of 2-week levofloxacin-containing triple therapy, levofloxacin-containing bismuth quadruple therapy, and standard bismuth quadruple therapy as a first-line regimen","2018",29131124,L620884798
"Atazanavir/ritonavir with lamivudine as maintenance therapy in virologically suppressed HIV-infected patients: 96 week outcomes of a randomized trial","2018",29668978,L623152404
"Effects of long-term weekly iron and folic acid supplementation on lower genital tract infection - a double blind, randomised controlled trial in Burkina Faso","2017",29166928,L619343392
"Efficacy of 1st-line bismuth-containing quadruple therapies with levofloxacin or clarithromycin for the eradication of Helicobacter pylori infection: A 1-week, open-label, randomized trial","2017",28207505,L614563188
"Home use of day-and-night hybrid closed-loop insulin delivery in suboptimally controlled adolescents with type 1 diabetes: A 3-week, free-living, randomized crossover trial","2016",27612500,L613125683
"Efficacy of first-line bismuth-containing quadruple therapies with levofloxacin or clarithromycin for the eradication of helicobacter pylori infection: A one-week, openlabel, randomized trial","2016",,L619936644
"Three months of weekly rifapentine and isoniazid for treatment of Mycobacterium tuberculosis infection in HIV-coinfected persons","2016",27243774,L609136086
"Comparison of daily norfloxacin versus weekly ciprofloxacin for the prevention of spontaneous bacterial peritonitis in cirrhotic patients: A randomized controlled trial","2016",,L72304288
"A Randomized Clinical Trial of Single-Dose Versus Weekly Dalbavancin for Treatment of Acute Bacterial Skin and Skin Structure Infection","2016",26611777,L608941905
"Two-week triple therapy has a higher Helicobacter pylori eradication rate than 1-week therapy: A single-center randomized study","2015",26655129,L607242750
"Efficiency and safety of the combination of moxifloxacin, pretomanid (PA-824), and pyrazinamide during the first 8 weeks of antituberculosis treatment: A phase 2b, open-label, partly randomised trial in patients with drug-susceptible or drug-resistant pulmonary tuberculosis","2015",25795076,L603089850
"Six-week versus twelve-week antibiotic therapy for nonsurgically treated diabetic foot osteomyelitis: A multicenter open-label controlled randomized study","2015",25414157,L601929725
"The Helicobacter pylori eradication in the group receiving standard -dose and group continue taking amoxicillin for 4 weeks; A clinical trial study","2015",,L605298369
"Weekly dalbavancin was noninferior to daily vancomycin for acute bacterial skin infection in adults","2014",25329226,L604604520
"Safety and tolerability of once-daily umeclidinium/vilanterol 125/25 mcg and umeclidinium 125 mcg in patients with chronic obstructive pulmonary disease: Results from a 52-week, randomized, double-blind, placebo-controlled study","2014",,L602967831
"Antibiotic prophylaxis in prelabor spontaneous rupture of fetal membranes at or beyond 36 weeks of pregnancy","2014",24140220,L52819196
"A prospective, randomised comparative study of weekly versus biweekly application of dehydrated human amnion/chorion membrane allograft in the management of diabetic foot ulcers","2014",24618401,L53024436
"Ixabepilone Administered Weekly or Every Three Weeks in HER2-Negative Metastatic Breast Cancer Patients; A Randomized Non-Comparative Phase II Trial","2013",23935969,L369424036
"Randomized Clinical Trial of Thrice-Weekly 4-Month Moxifloxacin or Gatifloxacin Containing Regimens in the Treatment of New Sputum Positive Pulmonary Tuberculosis Patients","2013",23843980,L369253401
"A randomised phase II/III trial of 3-weekly cisplatin-based sequential transarterial chemoembolisation vs embolisation alone for hepatocellular carcinoma","2013",23449352,L52467616
"A comparative study of 3-week and 6-week duration of double-j stent placement in renal transplant recipients","2012",22738941,L52086355
"Once weekly azithromycin in secondary prevention of rheumatic fever","2012",22572418,L364912653
"Second-line Helicobacter pylori Eradication: A Randomized Comparison of 1-week or 2-week Bismuth-containing Quadruple Therapy","2011",21762268,L362161848
"Triple therapy with ecabet sodium, amoxicillin and lansoprazole for 2 weeks as the rescue regimen for H. pylori Infection","2011",21372444,L361389909
"One week of nitrofurantoin before percutaneous nephrolithotomy significantly reduces upper tract infection and urosepsis: A prospective controlled study","2011",20570319,L50939662
"Antibiotic prophylaxis during PNL for staghorn stones: Comparison of one-week preoperative to one-shot intaoperative antibiotic use","2010",,L70471908
"Infliximab for diabetic macular edema refractory to laser photocoagulation: A randomized, double-blind, placebo-controlled, crossover, 32-week study","2010",20413522,L359810452
"Rituximab add-on therapy for breakthrough relapsing multiple sclerosis: A 52-week phase II trial","2010",20530322,L358981629
"A randomized, placebo-controlled phase II study evaluating the reduction of neutropenia and febrile neutropenia in patients with colorectal cancer receiving pegfilgrastim with every-2-week chemotherapy","2010",20378503,L358617742
"Changes in body composition with ritonavir-boosted and unboosted atazanavir treatment in combination with lamivudine and stavudine: A 96- week randomized, controlled study","2009",19302017,L354644229
"Once-weekly azithromycin in cystic fibrosis with chronic Pseudomonas aeruginosa infection","2008",18701270,L50235928
"Efficacy and safety of etanercept 50 mg twice a week in patients with rheumatoid arthritis who had a suboptimal response to etanercept 50 mg once a week: Results of a multicenter, randomized, double-blind, active drug-controlled study","2008",18576334,L351988083
"Induction of labour versus expectant management in women with preterm prelabour rupture of membranes between 34 and 37 weeks (the PPROMEXIL-trial)","2007",17617892,L47226081
"48-week study results show DRV's staying power.","2007",17523243,L46837598
"2-Week triple therapy for Helicobacter pylori infection is better than 1-week in clinical practice: A large prospective single-center randomized study","2006",17083378,L44674141
"Wet wrap bandages for 4 weeks did not differ from topical ointments but increased skin infections in paediatric atopic eczema: Commentary","2006",,L44863171
"Efficacy of the protease inhibitors tipranavir plus ritonavir in treatment-experienced patients: 24-Week analysis from the RESIST-1 trial","2006",17051503,L44706464
"Ritonavir-boosted tipranavir demonstrates superior efficacy to ritonavir-boosted protease inhibitors in treatment-experienced HIV-infected patients: 24-Week results of the RESIST-2 trial","2006",17051504,L44706465
"One week of ciprofloxacin before percutaneous nephrolithotomy significantly reduces upper tract infection and urosepsis: A prospective controlled study","2006",17034608,L44536462
"Resistance development over 144 weeks in treatment-naive patients receiving tenofovir disoproxil fumarate or stavudine with lamivudine and efavirenz in Study 903","2006",16925730,L44269811
"Duloxetine in the long-term management of diabetic peripheral neuropathic pain: An open-label, 52-week extension of a randomized controlled clinical trial","2006",,L46399664
"Tocolysis in women with preterm labor between 32 0/7 and 34 6/7 weeks of gestation: A randomized controlled pilot study","2006",16580286,L43575229
"Phase III study of weekly high-dose infusional fluorouracil plus folinic acid with or without irinotecan in patients with metastatic colorectal cancer: European Organisation for Research and Treatment of Cancer Gastrointestinal Group Study 40986","2005",,L46223990
"One-week versus two-week H(2)-receptor antagonist in combination with amoxicillin and tinidazole for eradication of Helicobacter pylori infection","2005",16201128,L41391047
"One-week once-daily triple therapy with esomeprazole, levofloxacin and azithromycin compared to a standard therapy for Helicobacter pylori eradication","2005",15996628,L44356069
"Systematic review and meta-analysis: Is 1-week proton pump inhibitor-based triple therapy sufficient to heal peptic ulcer?","2005",15801914,L40477239
"Efficacy and safety of weekly dalbavancin therapy for catheter-related bloodstream infection caused by gram-positive pathogens","2005",15668859,L40216504
"Alternation of antiretroviral drug regimens for HIV infection. Efficacy, safety and tolerability at week 96 of the Swatch Study","2004",15651747,L40040262
"The effects of once- or thrice-weekly mupirocin application on mupirocin resistance in patients on continuous ambulatory peritoneal dialysis--first 6 months' experience.","2004",15384797,L39416565
"A 42-week open-label study to assess the pharmacokinetics, antiretroviral activity, and safety of amprenavir or amprenavir plus ritonavir in combination with abacavir and lamivudine for treatment of HIV-infected patients","2004",15356829,L39120942
"Two-weekly or 3-weekly CHOP chemotherapy with or without etoposide for the treatment of young patients with good-prognosis (normal LDH) aggressive lymphomas: Results of the NHL-B1 trial of the DSHNHL","2004",14982884,L38970553
"Two-weekly or 3-weekly CHOP chemotherapy with or without etoposide for the treatment of elderly patients with aggressive lymphomas: Results of the NHL-B2 trial of the DSHNHL","2004",15016643,L38970554
"Weekly pin-site care was as effective as daily care in patients with external fixation","2004",,L39014340
"SOLO: 48-Week efficacy and safety comparison of once-daily fosamprenavir/ritonavir versus twice-daily nelfinavir in naive HIV-1-infected patients","2004",15238771,L39037477
"Once-Weekly Administration of 50 mg Etanercept in Patients with Active Rheumatoid Arthritis: Results of a Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial","2004",14872476,L38198818
"Once-Daily versus Twice-Daily Lopinavir/Ritonavir in Antiretroviral-Naive HIV-Positive Patients: A 48-Week Randomized Clinical Trial","2004",14722892,L38147251
"Once-Weekly Dalbavancin versus Standard-of-Care Antimicrobial Regimens for Treatment of Skin and Soft-Tissue Infections","2003",14583862,L37433624
"Interleukin-1β Genetic Polymorphism Influences the Effect of Cytochrome P 2C19 Genotype on the Cure Rate of 1-Week Triple Therapy for Helicobacter pylori Infection","2003",14638340,L37448748
"Esomeprazole-based one-week triple therapy with clarithromycin and metronidazole is effective in eradicating Helicobacter pylori in the absence of antimicrobial resistance","2003",14535873,L37323645
"One-week triple therapy with esomeprazole, clarithromycin and metronidazole provides effective eradication of Helicobacter pylori infection","2003",12786632,L36774145
"Three-week versus four-week schedule of cisplatin and gemcitabine: Results of a randomized phase II study","2002",12176787,L34885009
"Safety and antiviral activity at 48 weeks of lopinavir/ritonavir plus nevirapine and 2 nucleoside reverse-transcriptase inhibitors in human immunodeficiency virus type 1-infected protease inhibitor-experienced patients","2002",11865416,L34171464
"Comparison of 1-week vs. 2- or 4-week therapy regimens with ranitidine bismuth citrate plus two antibiotics for Helicobacter pylori eradication","2001",11552924,L32835560
"One-week ranitidine bismuth citrate-based triple therapy for the eradication of Helicobacter pylori in Hong Kong with high prevalence of metronidazole resistance","2001",11207516,L32187563
"One-week triple therapy with esomeprazole provides effective eradication of Helicobacter pylori in duodenal ulcer disease","2000",11121908,L32012433
"Impact of Helicobacter pylori antimicrobial resistance on the outcome of 1-week lansoprazole-based triple therapy","2000",11000734,L30691239
