"Title","Publication Year","Medline PMID","PUI"
"Comparison of the clinical and microbiologic efficacy of single-dose ceftibuten, 3-dose ceftibuten, and 7-day trimethoprim/sulfamethoxazole in the treatment of uncomplicated cystitis","1999",,L29350347
"Three-day antibiotic therapy with azithromycin and tinidazole plus lansoprazole or pantoprazole to cure Helicobacter pylori infection: A pilot study","1999",10333196,L29286677
"The optimal antibiotic combination in a 5-day Helicobacter pylori eradication regimen","1999",10215734,L29176873
"A trial comparing low-dose, short-course ciprofloxacin and standard 7 day therapy with co-trimoxazole or nitrofurantoin in the treatment of uncomplicated urinary tract infection","1999",10225575,L29123504
"Failure of a 1-day high-dose quadruple therapy for cure of Helicobacter pylori infection","1999",10102947,L29090012
"Antibiotic prophylaxis in orthognathic surgery: A 1-day versus 5-day regimen","1999",10077192,L29109352
"Safety and tolerability of a new formulation (90 mg/kg/day divided every 12 h) of amoxicillin/clavulanate (Augmentin®) in the empiric treatment of pediatric acute otitis media caused by drug-resistant Streptococcus pneumoniae","1998",9802654,L28506435
"Ranitidine bismuth citrate (RBC) based triple therapy for 7 days is more effective than RBC plus clarithromycin for 14 days in dyspeptic patients with Helicobacter pylori infection","1998",9798804,L28454382
"A comparison of 10 and 14 days of lansoprazole triple therapy for eradication of Helicobacter pylori","1998",9701099,L28371188
"Optimal treatment of Helicobacter pylori with ranitidine bismuth citrate (RBC): A randomized comparison between two 7-day triple therapies and a 14- day dual therapy","1998",9672338,L29080958
"Prophylactic antibiotics administration head and neck cancer surgery with major flap reconstruction: 1-day cefoperazone versus 5-day cefotaxime","1998",9666577,L28260565
"A comparison between single-dose fosfomycin trometamol (Monuril®) and a 5-day course of trimethoprim in the treatment of uncomplicated lower urinary tract infection in women","1998",9624542,L28234359
"Ranitidine bismuth citrate with either clarithromycin 1 g/day or 1.5 g/day is equally effective in the eradication of H. pylori and healing of duodenal ulcer","1998",9692703,L28057407
"Increased burn patient survival with once-a-day high dose teicoplanin and netilmicin. An Italian multicenter study","1998",9531075,L28092409
"Five-day cefdinir treatment for streptococcal pharyngitis","1998",9593129,L28227899
"Uterine bacterial flora on the first and fifth postpuerperal days after continuous, open-label, uncontrolled cefditoren dosing","1997",,L27497627
"Therapeutic efficacy of perfloxacin in treatment of ampicillin-resistant typhoid fever in 7 days versus 10 days","1997",,L27497760
"Five- vs 10-day treatment of acute otitis media with ceftibuten in infants and children","1997",,L28049566
"Short-course therapy with amoxycillin-clarithormycin triple therapy for 10 days (ACT-10) eradicates Helicobacter pylori and heals duodenal ulcer","1997",9354205,L27445683
"Seven days of erythromycin estolate is as effective as fourteen days for the treatment of Bordetella pertussis infections","1997",9200361,L27291009
"Five-day spiramycin vs seven-day penicillin V in the treatment of streptococcal tonsillitis in children","1997",,L27279635
"Anti-Helicobacter pylori treatment in bleeding ulcers: Randomized controlled trial comparing 2-day versus 7-day bismuth quadruple therapy","1997",9068464,L27108176
"A study of 5-day cefdinir treatment for streptococcal pharyngitis in children","1997",9006528,L27036518
"Evaluation of 3-day course of doxycycline for the treatment of uncomplicated chlamydia trachomatis cervicitis","1997",,L27479404
"Six-day amoxicillin vs. ten-day penicillin V therapy for group A streptococcal tonsillopharyngitis","1996",8858671,L26271975
"Aminoglycosides: Once a day is enough","1996",,L26190147
"Once-daily, 3-day azithromycin versus a three-times-daily, 10-day course of co-amoxiclav in the treatment of adults with lower respiratory tract infections: Results of a randomized, double-blind comparative study","1996",8818850,L26283384
"A randomized, comparative study to evaluate the efficacy and tolerability of a 3-day course of azithromycin versus a 10-day course of co-amoxiclav as treatment of adult patients with lower respiratory tract infections","1996",8818851,L26283385
"Five-day therapy with cefpodoxime versus ten-day treatment with cefaclor in infants with acute otitis media","1995",,L26007918
"A double-blind randomized trial comparing the efficacy and safety of a 5-day course of cefotiam hexetil with that of a 10-day course of penicillin V in adult patients with pharyngitis caused by group A β-haemolytic streptococci","1995",7559195,L25223182
"Comparative efficacy and safety of four-day cefuroxime axetil and ten-day penicillin treatment of group A beta-hemolytic streptococcal pharyngitis in children","1995",7603811,L25126395
"Efficacy of a three day course of azithromycin in moderately severe community-acquired pneumonia","1995",7789484,L25124231
"Once-a-day cefixime versus co-amoxiclav three times daily in the treatment of lower respiratory infections [4]","1995",7759403,L25090911
"High-dosage co-amoxiclav in a single dose versus 7 days of co-trimoxazole as treatment of uncomplicated lower urinary tract infection in women","1995",7768760,L25066811
"Single-dose fosfomycin trometamol versus 5-day cephalexin regimen for treatment of uncomplicated lower urinary tract infections in women","1994",7872756,L24332595
"Five versus ten days treatment of Streptococcal pharyngotonsillitis: A randomized controlled trial comparing cefpodoxime proxetil and phenoxymethyl penicillin","1994",8191242,L24073190
"Urinary tract infections with low and high colony counts in young women: Spontaneous remission and single-dose vs multiple-day treatment","1994",8297196,L24055882
"Once daily administration of amikacin. Adaptation to neonatology for infants less than 3 days of postnatal age","1993",,L23319499
"Antibiotic prophylaxis in patients undergoing transurethral resection of the prostate. Comparison of preoperative single dose with postoperative 4-day treatment","1992",,L23011178
"Treatment of urinary infections in pregnancy using single versus 10-day dosing.","1992",1602504,L22933138
"Treatment of urinary infection. A randomized comparative study between two posologic regimes of ofloxacin (three days of treatment) versus trimethoprim-sulfamethoxazole (seven days of treatment)","1991",,L22202284
"Ceporex twice a day in the treatment of urinary tract infections: A comparison with amoxycillin","1991",,L21220320
"Therapy for women hospitalized with acute pyelonephritis: A randomized trial of ampicillin versus trimethorprim-sulfamethoxazole for 14 days","1991",1988516,L21070581
