PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"10571611","Double vs. single dose of pantoprazole in combination with clarithromycin and amoxycillin for 7 days, in eradication of Helicobacter pylori in patients with non-ulcer dyspepsia","Lamouliatte H, Samoyeau R, De Mascarel A, Megraud F.","Aliment Pharmacol Ther. 1999 Nov;13(11):1523-30. doi: 10.1046/j.1365-2036.1999.00646.x.","Lamouliatte H","Aliment Pharmacol Ther","1999","1999/11/26","","","10.1046/j.1365-2036.1999.00646.x"
"11329100","Comparison of 7 versus 10 days of antibiotic therapy for hospitalized patients with uncomplicated community-acquired pneumonia: a prospective, randomized, double-blind study","Siegel RE, Alicea M, Lee A, Blaiklock R.","Am J Ther. 1999 Jul;6(4):217-22. doi: 10.1097/00045391-199907000-00007.","Siegel RE","Am J Ther","1999","2001/05/01","","","10.1097/00045391-199907000-00007"
"10457551","[Infection prophylaxis in open leg fractures. Comparison of a dose of pefloxacin and 5 days of cefazolin-oxacillin. A randomized study of 616 cases]","Gagey O, Doyon F, Dellamonica P, Carsenti-Etesse H, Desplaces N, Tancrède C, Evrard J.","Rev Chir Orthop Reparatrice Appar Mot. 1999 Jul;85(4):328-36.","Gagey O","Rev Chir Orthop Reparatrice Appar Mot","1999","1999/08/24","","",""
"10353511","One dose ceftriaxone vs. ten days of amoxicillin/clavulanate therapy for acute otitis media: clinical efficacy and change in nasopharyngeal flora","Cohen R, Navel M, Grunberg J, Boucherat M, Geslin P, Derriennic M, Pichon F, Goehrs JM.","Pediatr Infect Dis J. 1999 May;18(5):403-9. doi: 10.1097/00006454-199905000-00002.","Cohen R","Pediatr Infect Dis J","1999","1999/06/03","","","10.1097/00006454-199905000-00002"
"10379492","Seven days of ranitidine bismuth citrate plus two antimicrobials for Helicobacter pylori eradication","Delle Cave M, Vitale LM, Beneduce F, Ciamarra P, Marmo R, Del Vecchio Blanco C, Romano M.","Ital J Gastroenterol Hepatol. 1999 Apr;31(3):265.","Delle Cave M","Ital J Gastroenterol Hepatol","1999","1999/06/24","","",""
"10102965","Eradication of Helicobacter pylori infection after ranitidine bismuth citrate, metronidazole and tetracycline for 7 or 10 days","Knigge K, Kelly C, Peterson WL, Fennerty MB.","Aliment Pharmacol Ther. 1999 Mar;13(3):323-6. doi: 10.1046/j.1365-2036.1999.00485.x.","Knigge K","Aliment Pharmacol Ther","1999","1999/04/02","","","10.1046/j.1365-2036.1999.00485.x"
"10090434","Effectiveness of short-course therapy (5 days) with grepafloxacin in the treatment of acute bacterial exacerbations of chronic bronchitis","DeAbate CA, Bettis R, Munk ZM, Fleming H, Munn NJ, Riffer E, Bagby B, Giguere G, Collins JJ.","Clin Ther. 1999 Jan;21(1):172-88. doi: 10.1016/S0149-2918(00)88277-6.","DeAbate CA","Clin Ther","1999","1999/03/25","","","10.1016/S0149-2918(00)88277-6"
"9844453","[Omeprazole plus 2 antibiotics for the eradication of H. pylori, are 5 days of treatment sufficient?]","Gisbert JP, Boixeda D, Bermejo F, Moreno L, Ramos F, Martín de Argila C, García Arata I, García Plaza A.","Rev Clin Esp. 1998 Oct;198(10):655-9.","Gisbert JP","Rev Clin Esp","1998","1998/12/09","","",""
"9798804","Ranitidine bismuth citrate (RBC) based triple therapy for 7 days is more effective than RBC plus clarithromycin for 14 days in dyspeptic patients with Helicobacter pylori infection. H. Pylori Lombardy Group","Cestari R.","Aliment Pharmacol Ther. 1998 Oct;12(10):991-6. doi: 10.1046/j.1365-2036.1998.00394.x.","Cestari R","Aliment Pharmacol Ther","1998","1998/11/03","","","10.1046/j.1365-2036.1998.00394.x"
"9701099","A comparison of 10 and 14 days of lansoprazole triple therapy for eradication of Helicobacter pylori","Fennerty MB, Kovacs TO, Krause R, Haber M, Weissfeld A, Siepman N, Rose P.","Arch Intern Med. 1998 Aug 10-24;158(15):1651-6. doi: 10.1001/archinte.158.15.1651.","Fennerty MB","Arch Intern Med","1998","1998/08/13","","","10.1001/archinte.158.15.1651"
"9354205","Short-course therapy with amoxycillin-clarithromycin triple therapy for 10 days (ACT-10) eradicates Helicobacter pylori and heals duodenal ulcer. ACT-10 Study Group","Wurzer H, Rodrigo L, Stamler D, Archambault A, Rokkas T, Skandalis N, Fedorak R, Bazzoli F, Hentschel E, Mora P, Archimandritis A, Megraud F.","Aliment Pharmacol Ther. 1997 Oct;11(5):943-52. doi: 10.1046/j.1365-2036.1997.00223.x.","Wurzer H","Aliment Pharmacol Ther","1997","1997/11/14","","","10.1046/j.1365-2036.1997.00223.x"
"9410047","[Double-blind clinical trial comparing 5 days of dirithromycin versus 7 days of diacetylmidecamycin in acute bronchitis and acute exacerbations of chronic bronchitis]","Sacristán JA, Elviro J, García de Lomas J, Palomino-Nicás J, Sobradillo V, Sánchez Gascón F, Valencia A, Calbo F, Viejo JL, Zamarrón C, Coca E, Casado MA, García Pérez LE, Hernández JM.","Enferm Infecc Microbiol Clin. 1997 Aug-Sep;15(7):357-60.","Sacristán JA","Enferm Infecc Microbiol Clin","1997","1997/08/01","","",""
"9200361","Seven days of erythromycin estolate is as effective as fourteen days for the treatment of Bordetella pertussis infections","Halperin SA, Bortolussi R, Langley JM, Miller B, Eastwood BJ.","Pediatrics. 1997 Jul;100(1):65-71. doi: 10.1542/peds.100.1.65.","Halperin SA","Pediatrics","1997","1997/07/01","","","10.1542/peds.100.1.65"
"9124864","Treatment of enteric fever with pefloxacin for 7 days versus 5 days: a randomized clinical trial","Unal S, Hayran M, Tuncer S, Gür D, Uzun O, Akova M, Akalin HE.","Antimicrob Agents Chemother. 1996 Dec;40(12):2898-900. doi: 10.1128/AAC.40.12.2898.","Unal S","Antimicrob Agents Chemother","1996","1996/12/01","PMC163645","","10.1128/AAC.40.12.2898"
"8922570","Five days of erythromycin estolate versus ten days of penicillin V in the treatment of group A streptococcal tonsillopharyngitis in children. Pharyngitis Study Group","Adam D, Scholz H.","Eur J Clin Microbiol Infect Dis. 1996 Sep;15(9):712-7. doi: 10.1007/BF01691957.","Adam D","Eur J Clin Microbiol Infect Dis","1996","1996/09/01","","","10.1007/BF01691957"
"8849259","Two or three days of ofloxacin treatment for uncomplicated multidrug-resistant typhoid fever in children","Vinh H, Wain J, Vo TN, Cao NN, Mai TC, Bethell D, Nguyen TT, Tu SD, Nguyen MD, White NJ.","Antimicrob Agents Chemother. 1996 Apr;40(4):958-61. doi: 10.1128/AAC.40.4.958.","Vinh H","Antimicrob Agents Chemother","1996","1996/04/01","PMC163238","","10.1128/AAC.40.4.958"
"8698374","Chlamydial cervicitis and urethritis: single dose treatment compared with doxycycline for seven days in community based practises","Thorpe EM Jr, Stamm WE, Hook EW 3rd, Gall SA, Jones RB, Henry K, Whitworth G, Johnson RB.","Genitourin Med. 1996 Apr;72(2):93-7. doi: 10.1136/sti.72.2.93.","Thorpe EM Jr","Genitourin Med","1996","1996/04/01","PMC1195615","","10.1136/sti.72.2.93"
"8822290","Effectiveness of five days of therapy with cefuroxime axetil suspension for treatment of acute otitis media","Gooch WM 3rd, Blair E, Puopolo A, Paster RZ, Schwartz RH, Miller HC, Smyre HL, Yetman R, Giguere GG, Collins JJ.","Pediatr Infect Dis J. 1996 Feb;15(2):157-64. doi: 10.1097/00006454-199602000-00013.","Gooch WM 3rd","Pediatr Infect Dis J","1996","1996/02/01","","","10.1097/00006454-199602000-00013"
"8798095","Comparison of 1 and 3 days' transurethral Foley catheterization after retropubic incontinence surgery","Schiøtz HA.","Int Urogynecol J Pelvic Floor Dysfunct. 1996;7(2):98-101. doi: 10.1007/BF01902381.","Schiøtz HA","Int Urogynecol J Pelvic Floor Dysfunct","1996","1996/01/01","","","10.1007/BF01902381"
"8585739","Effectiveness of short-course therapy (5 days) with cefuroxime axetil in treatment of secondary bacterial infections of acute bronchitis","Henry D, Ruoff GE, Rhudy J, Puopolo A, Drehobl M, Schoenberger J, Giguere G, Collins JJ.","Antimicrob Agents Chemother. 1995 Nov;39(11):2528-34. doi: 10.1128/AAC.39.11.2528.","Henry D","Antimicrob Agents Chemother","1995","1995/11/01","PMC162978","","10.1128/AAC.39.11.2528"
"8537264","A comparison of 5 days of dirithromycin and 7 days of clarithromycin in acute bacterial exacerbation of chronic bronchitis","Hosie J, Quinn P, Smits P, Sides G.","J Antimicrob Chemother. 1995 Jul;36(1):173-83. doi: 10.1093/jac/36.1.173.","Hosie J","J Antimicrob Chemother","1995","1995/07/01","","","10.1093/jac/36.1.173"
"7897784","Randomized controlled trial of 3 vs 10 days of trimethoprim/sulfamethoxazole for acute maxillary sinusitis","Williams JW Jr, Holleman DR Jr, Samsa GP, Simel DL.","JAMA. 1995 Apr 5;273(13):1015-21.","Williams JW Jr","JAMA","1995","1995/04/05","","",""
"8549398","Double-blind comparison of ofloxacin for 3 days and placebo in acute bacterial enteritis","Halstensen A, Voltersvik P, Gossius G, Digranes A, Peterson LE, Rolstad T, Solberg CO.","Drugs. 1995;49 Suppl 2:454-6. doi: 10.2165/00003495-199500492-00133.","Halstensen A","Drugs","1995","1995/01/01","","","10.2165/00003495-199500492-00133"
"7768760","High-dosage co-amoxiclav in a single dose versus 7 days of co-trimoxazole as treatment of uncomplicated lower urinary tract infection in women","Masterton RG, Bochsler JA.","J Antimicrob Chemother. 1995 Jan;35(1):129-37. doi: 10.1093/jac/35.1.129.","Masterton RG","J Antimicrob Chemother","1995","1995/01/01","","","10.1093/jac/35.1.129"
"7921095","Effective short-course treatment of acute group A beta-hemolytic streptococcal tonsillopharyngitis. Ten days of penicillin V vs 5 days or 10 days of cefpodoxime therapy in children","Pichichero ME, Gooch WM, Rodriguez W, Blumer JL, Aronoff SC, Jacobs RF, Musser JM.","Arch Pediatr Adolesc Med. 1994 Oct;148(10):1053-60. doi: 10.1001/archpedi.1994.02170100051010.","Pichichero ME","Arch Pediatr Adolesc Med","1994","1994/10/01","","","10.1001/archpedi.1994.02170100051010"
"7854859","[Antibacterial activity of ciprofloxacin in the urine during four days after a single 500 mg and 750 mg oral dose]","Guibert J, Kitzis MD, Acar JF.","Pathol Biol (Paris). 1994 Jun;42(6):587-92.","Guibert J","Pathol Biol (Paris)","1994","1994/06/01","","",""
