"","PMID","PUI","Title"
"1",31732485,NA,"Bedaquiline, moxifloxacin, pretomanid, and pyrazinamide during the first 8 weeks of treatment of patients with drug-susceptible or drug-resistant pulmonary tuberculosis: a multicentre, open-label, partially randomised, phase 2b trial"
"2",31106353,NA,"Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial"
"3",31035017,NA,"Microbiological changes observed over 48 weeks of treatment with inhaled liposomal ciprofloxacin in individuals with non-cystic fibrosis bronchiectasis and chronic Pseudomonas aeruginosa lung infection"
"4",30992295,NA,"Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial"
"5",29220542,NA,"Safety and efficacy of apremilast through 104 weeks in patients with moderate to severe psoriasis who continued on apremilast or switched from etanercept treatment: findings from the LIBERATE study"
"6",28416342,NA,"Long-term safety and tolerability of apremilast in patients with psoriasis: Pooled safety analysis for ≥156 weeks from 2 phase 3, randomized, controlled trials (ESTEEM 1 and 2)"
"7",26357944,NA,"Efficacy and safety of apremilast, an oral phosphodiesterase 4 inhibitor, in patients with moderate-to-severe plaque psoriasis over 52 weeks: a phase III, randomized controlled trial (ESTEEM 2)"
"8",26009989,NA,"A prospective randomized cohort study evaluating 3 weeks vs 6 weeks of oral antibiotic treatment in the setting of ""maximal medical therapy"" for chronic rhinosinusitis"
"9",25795076,NA,"Efficiency and safety of the combination of moxifloxacin, pretomanid (PA-824), and pyrazinamide during the first 8 weeks of antituberculosis treatment: a phase 2b, open-label, partly randomised trial in patients with drug-susceptible or drug-resistant pulmonary tuberculosis"
"10",25468170,NA,"Antibiotic treatment for 6 weeks versus 12 weeks in patients with pyogenic vertebral osteomyelitis: an open-label, non-inferiority, randomised, controlled trial"
"11",24140220,NA,"Antibiotic prophylaxis in prelabor spontaneous rupture of fetal membranes at or beyond 36 weeks of pregnancy"
"12",22801348,NA,"Rapid plasma reagin titer variation in the 2 weeks after syphilis therapy"
"13",22592586,NA,"Time to initiate antiretroviral therapy between 4 weeks and 12 weeks of tuberculosis treatment in HIV-infected patients: results from the TIME study"
"14",22391540,NA,"Randomized pilot trial of eight weeks of bedaquiline (TMC207) treatment for multidrug-resistant tuberculosis: long-term outcome, tolerability, and effect on emergence of drug resistance"
"15",21372444,NA,"Triple therapy with ecabet sodium, amoxicillin and lansoprazole for 2 weeks as the rescue regimen for H. pylori infection"
"16",21051704,NA,"Rates and risk factors for unfavorable outcomes 6 weeks after trichiasis surgery"
"17",20215128,NA,"Comparison of the efficacy of gentamicin for 5 days plus doxycycline for 8 weeks versus streptomycin for 2 weeks plus doxycycline for 45 days in the treatment of human brucellosis: a randomized clinical trial"
"18",19815891,NA,"Macrofilaricidal activity and amelioration of lymphatic pathology in bancroftian filariasis after 3 weeks of doxycycline followed by single-dose diethylcarbamazine"
"19",19333944,NA,"Golimumab, a new human tumor necrosis factor alpha antibody, administered every four weeks as a subcutaneous injection in psoriatic arthritis: Twenty-four-week efficacy and safety results of a randomized, placebo-controlled study"
"20",19166420,NA,"Lafutidine versus lansoprazole in combination with clarithromycin and amoxicillin for one versus two weeks for Helicobacter pylori eradication in Korea"
"21",17402345,NA,"Evaluation of a new fixed duration (12 weeks) multi-drug regimen of bactericidal drugs in multibacillary leprosy"
"22",17028126,NA,"Comparison of 1 and 2 weeks of omeprazole, amoxicillin and clarithromycin treatment for Helicobacter pylori eradication: the HYPER Study"
"23",16327334,NA,"Efavirenz 600 mg/day versus efavirenz 800 mg/day in HIV-infected patients with tuberculosis receiving rifampicin: 48 weeks results"
"24",15693450,NA,"Comparison of one week and two weeks of triple therapy for the eradication of Helicobacter pylori in a Sri Lankan population: a randomised, controlled study"
"25",12685882,NA,"Ciprofloxacin for 2 or 4 weeks in the treatment of febrile urinary tract infection in men: a randomized trial with a 1 year follow-up"
"26",12235071,NA,"Double blind, randomised, placebo controlled study of four weeks of lansoprazole for the treatment of functional dyspepsia in Chinese patients"
"27",11515622,NA,"Prolonging proton pump inhibitor-based anti-Helicobacter pylori treatment from one to two weeks in duodenal ulcer: is it worthwhile?"
"28",11507355,NA,"Various durations of a standard regimen (amoxycillin, metronidazole, colloidal bismuth sub-citrate for 2 weeks or with additional ranitidine for 1 or 2 weeks) on eradication of Helicobacter pylori in Iranian peptic ulcer patients. A randomized controlled trial"
"29",11242715,NA,"Two weeks triple therapy with lansoprazole, amoxycillin and roxythromycin is better than dual therapy with lansoprazole and amoxycillin for H. pylori infection: a randomised, clinical trial"
"30",11232676,NA,"Do some patients with Helicobacter pylori infection benefit from an extension to 2 weeks of a proton pump inhibitor-based triple eradication therapy?"
"31",32857331,NA,"Seven versus Ten Days Antibiotics Course for Acute Pyogenic Meningitis in Children: A Randomized Controlled Trial"
"32",32609979,NA,"Amoxicillin for 3 or 5 Days for Chest-Indrawing Pneumonia in Malawian Children"
"33",32499466,NA,"The efficacy of two doses versus 7 days' course of prophylactic antibiotics following cesarean section: An experience from Aminu Kano Teaching Hospital"
"34",32293527,NA,"An optimised dosing regimen versus a standard dosing regimen of vancomycin for the treatment of late onset sepsis due to Gram-positive microorganisms in neonates and infants aged less than 90 days (NeoVanc): study protocol for a randomised controlled trial"
"35",32140989,NA,"The CABI Trial: an Unblinded Parallel Group Randomised Controlled Feasibility Trial of Long-Course Antibiotic Therapy (28 Days) Compared with Short Course (≤ 10 Days) in the Prevention of Relapse in Adults Treated for Complicated Intra-Abdominal Infection"
"36",31941546,NA,"A pilot randomized controlled trial of 7 versus 14 days of antibiotic treatment for bloodstream infection on non-intensive care versus intensive care wards"
"37",31618678,NA,"Antibiotic treatment for 6 days versus 12 days in patients with severe cellulitis: a multicentre randomized, double-blind, placebo-controlled, non-inferiority trial"
"38",31585944,NA,"Penicillin V four times daily for five days versus three times daily for 10 days in patients with pharyngotonsillitis caused by group A streptococci: randomised controlled, open label, non-inferiority study"
"39",31030266,NA,"Antimicrobial prophylaxis for 1 day versus 3 days in liver cancer surgery: a randomized controlled non-inferiority trial"
"40",30596964,NA,"Comparison of 3 Days Amoxicillin Versus 5 Days Co-Trimoxazole for Treatment of Fast-breathing Pneumonia by Community Health Workers in Children Aged 2-59 Months in Pakistan: A Cluster-randomized Trial"
"41",30535100,NA,"Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial"
"42",30260776,NA,"Comparison of 10 and 14 days of triple therapy versus 10 days of sequential therapy for Helicobacter pylori eradication: A prospective randomized study"
"43",30241517,NA,"Methods for conducting a double-blind randomized controlled clinical trial of three days versus five days of amoxicillin dispersible tablets for chest indrawing childhood pneumonia among children two to 59 months of age in Lilongwe, Malawi: a study protocol"
"44",29781043,NA,"Comparison of Four Days Versus Seven Days Duration of Antibiotic Therapy for Neonatal Pneumonia: A Randomized Controlled Trial"
"45",29452598,NA,"7 versus 14 days of antibiotic treatment for critically ill patients with bloodstream infection: a pilot randomized clinical trial"
"46",29428426,NA,"First-line treatment of Helicobacter pylori in Lebanon: Comparison of bismuth-containing quadruple therapy versus 14-days sequential therapy"
"47",28921781,NA,"Valganciclovir (VGCV) followed by cytomegalovirus (CMV) hyperimmune globulin compared to VGCV for 200 days in abdominal organ transplant recipients at high risk for CMV infection: A prospective, randomized pilot study"
"48",28501668,NA,"Response Adjusted for Days of Antibiotic Risk (RADAR): evaluation of a novel method to compare strategies to optimize antibiotic use"
"49",28398692,NA,"Seven versus 10 days antibiotic therapy for culture-proven neonatal sepsis: A randomised controlled trial"
"50",28283830,NA,"Is 5 days of oral fluoroquinolone enough for acute uncomplicated pyelonephritis? The DTP randomized trial"
"51",28266875,NA,"Ten days of levofloxacin-containing concomitant therapy can achieve effective Helicobacter pylori eradication in patients with type 2 diabetes"
"52",28263245,NA,"The Treatment of Possible Severe Infection in Infants: An Open Randomized Safety Trial of Parenteral Benzylpenicillin and Gentamicin Versus Ceftriaxone in Infants <60 days of Age in Malawi"
"53",27941119,NA,"Ambulatory Treatment of Fast Breathing in Young Infants Aged <60 Days: A Double-Blind, Randomized, Placebo-Controlled Equivalence Trial in Low-Income Settlements of Karachi"
"54",27905884,NA,"The efficacy of pivmecillinam: 3 days or 5 days t.i.d against community acquired uncomplicated lower urinary tract infections - a randomized, double-blinded, placebo-controlled clinical trial study protocol"
"55",27618925,NA,"A randomized controlled study of 5 and 10 days treatment with phenoxymethylpenicillin for pharyngotonsillitis caused by streptococcus group A - a protocol study"
"56",26338825,NA,"Sequential therapy for 10 days versus triple therapy for 14 days in the eradication of Helicobacter pylori in the community and hospital populations: a randomised trial"
"57",25294250,NA,"Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: the SOLO II noninferiority study"
"58",24909499,NA,"Tedizolid for 6 days versus linezolid for 10 days for acute bacterial skin and skin-structure infections (ESTABLISH-2): a randomised, double-blind, phase 3, non-inferiority trial"
"59",24142473,NA,"The safety of besifloxacin ophthalmic suspension 0.6 % used three times daily for 7 days in the treatment of bacterial conjunctivitis"
"60",23945570,NA,"Safety and efficacy of simplified antibiotic regimens for outpatient treatment of serious infection in neonates and young infants 0-59 days of age in Bangladesh: design of a randomized controlled trial"
"61",23183433,NA,"A time-to-event pharmacodynamic model describing treatment response in patients with pulmonary tuberculosis using days to positivity in automated liquid mycobacterial culture"
"62",23010339,NA,"A pilot randomised controlled trial in intensive care patients comparing 7 days' treatment with empirical antibiotics with 2 days' treatment for hospital-acquired infection of unknown origin"
"63",22952580,NA,"Early-onset ventilator-associated pneumonia in adults randomized clinical trial: comparison of 8 versus 15 days of antibiotic treatment"
"64",22858517,NA,"Nonbismuth quadruple ""concomitant"" therapy versus standard triple therapy, both of the duration of 10 days, for first-line H. pylori eradication: a randomized trial"
"65",22726802,NA,"Ciprofloxacin for 7 days versus 14 days in women with acute pyelonephritis: a randomised, open-label and double-blind, placebo-controlled, non-inferiority trial"
"66",22698825,NA,"Clinical and epidemiologic characteristics as predictors of treatment failures in uncomplicated skin abscesses within seven days after incision and drainage"
"67",22656335,NA,"Zinc as adjunct treatment in infants aged between 7 and 120 days with probable serious bacterial infection: a randomised, double-blind, placebo-controlled trial"
"68",22555328,NA,"[5 days Cefaclor vs. 10 days amoxicillin/clavulanate in the treatment of childhood streptococcal pharyngitis. Data from a randomized clinical trial]"
"69",22469449,NA,"Mometasone furoate nasal spray increases the number of minimal-symptom days in patients with acute rhinosinusitis"
"70",22420526,NA,"Besifloxacin ophthalmic suspension 0.6% administered twice daily for 3 days in the treatment of bacterial conjunctivitis in adults and children"
"71",22283848,NA,"Repeated supratherapeutic dosing of strontium ranelate over 15 days does not prolong QT(c) interval in healthy volunteers"
"72",22237003,NA,"Incidence of cytomegalovirus UL97 and UL54 amino acid substitutions detected after 100 or 200 days of valganciclovir prophylaxis"
"73",22103045,NA,"""7, 10 and 14-days rabeprazole-based standard triple therapies for H. pylori eradication: are they still effective? A randomized trial"""
"74",22059392,NA,"Randomized trial on 14 versus 7 days of esomeprazole, moxifloxacin, and amoxicillin for second-line or rescue treatment of Helicobacter pylori infection"
"75",21958494,NA,"Meropenem vs standard of care for treatment of late onset sepsis in children of less than 90 days of age: study protocol for a randomised controlled trial"
"76",21762269,NA,"Twice-a-day bismuth-containing quadruple therapy for Helicobacter pylori eradication: a randomized trial of 10 and 14 days"
"77",21620467,NA,"5 versus 10 days of treatment with ceftriaxone for bacterial meningitis in children: a double-blind randomised equivalence study"
