"","PMID","PUI","Title","Publication.Year"
"1",10049962,NA,"Once- versus twice-daily gentamicin dosing in neonates >/=34 Weeks' gestation: cost-effectiveness analyses",1999
"2",10036952,NA,"[A comparative study; one week treatment versus two weeks treatment with lansoprazol, amoxycillin and clarythromycin for the eradication of Helicobacter pylori in patient with gastric and duodenal ulcer]",1999
"3",9868662,NA,"Ceftriaxone once daily for four weeks compared with ceftriaxone plus gentamicin once daily for two weeks for treatment of endocarditis due to penicillin-susceptible streptococci. Endocarditis Treatment Consortium Group",1998
"4",9768531,NA,"Helicobacter pylori eradication and ulcer healing with daily lansoprazole, plus 1 or 2 weeks co-therapy with amoxycillin and clarithromycin",1998
"5",9570242,NA,"Low dose of clarithromycin in triple therapy for the eradication of Helicobacter pylori: one or two weeks?",1998
"6",9471024,NA,"One-week therapy with omeprazole, clarithromycin and metronidazole or ornidazole, followed by 3 weeks' treatment with omeprazole, eradicates Helicobacter pylori equally and heals duodenal ulcer",1997
"7",8822657,NA,"Warm tub bath during labor. A study of 1385 women with prelabor rupture of the membranes after 34 weeks of gestation",1996
"8",8760703,NA,"A randomised trial of two expectant managements of prelabour rupture of the membranes at 34 to 42 weeks",1996
"9",9398880,NA,"Comparison of one or two weeks of lansoprazole, amoxicillin, and clarithromycin in the treatment of Helicobacter pylori",1996
"10",8658299,NA,"Management of premature rupture of the membranes after 34 weeks' gestation -- early versus delayed induction of labour",1996
"11",8852474,NA,"Erythema migrans: three weeks treatment for prevention of late Lyme borreliosis",1996
"12",7965439,NA,"Long-term outcome of patients with rheumatic fever receiving benzathine penicillin G prophylaxis every three weeks versus every four weeks",1994
"13",7942724,NA,"Randomized study comparing 1 with 2 weeks of quadruple therapy for eradicating Helicobacter pylori",1994
"14",1569815,NA,"Treatment of multibacillary leprosy with a regimen of 13 weeks duration",1992
"15",1949222,NA,"Short-course chemotherapy for pulmonary tuberculosis under routine programme conditions: a comparison of regimens of 28 and 36 weeks duration in Algeria. Algerian Working Group/British Medical Research Council Cooperative Study",1991
"16",3056259,NA,"Double-blind, randomized comparison of 24 weeks of norfloxacin and 12 weeks of norfloxacin followed by 12 weeks of placebo in the therapy of complicated urinary tract infection",1988
"17",3287839,NA,"One or three weeks' treatment of acute pyelonephritis? A double-blind comparison, using a fixed combination of pivampicillin plus pivmecillinam",1988
"18",3299095,NA,"Treatment of cryptococcal meningitis with combination amphotericin B and flucytosine for four as compared with six weeks",1987
"19",3492950,NA,"Acute renal infection in women: treatment with trimethoprim-sulfamethoxazole or ampicillin for two or six weeks. A randomized trial",1987
"20",4888353,NA,"Controlled trial comparing effect of two and six weeks' treatment in recurrent urinary tract infection",1969
"21",34042388,NA,"Antibiotic Therapy for 6 or 12 Weeks for Prosthetic Joint Infection",2021
