"Parameter","Outcome","HD","SPM","HD","SPM","HD","SPM"
"n","R carriers per day","0 (0.14)","0.08 (0.10)","0 (0.70)","0.02 (0.67)","0 (0.29)","0.03 (0.49)"
"","New R acquisitions per admission","0 (0.57)","0.02 (0.70)","0 (0.62)","0.02 (0.62)","0 (0.59)","0.01 (0.80)"
"l","R carriers per day","0.01 (<0.01)","0.14 (0.01)","0 (0.73)","0.01 (0.91)","0 (0.50)","-0.01 (0.77)"
"","New R acquisitions per admission","0.01 (<0.01)","-0.22 (<0.01)","0 (0.09)","-0.10 (0.04)","0 (0.14)","0.07 (0.15)"
"p_R","R carriers per day","0.25 (<0.01)","0.76 (<0.01)","0.46 (<0.01)","0.91 (<0.01)","0.55 (<0.01)","0.93 (<0.01)"
"","New R acquisitions per admission","0 (0.29)","0 (0.97)","0 (0.05)","0.10 (0.04)","0 (0.23)","0.01 (0.92)"
"p_S","R carriers per day","0 (0.21)","-0.06 (0.24)","0 (0.21)","-0.03 (0.54)","-","-"
"","New R acquisitions per admission","0 (0.09)","0.09 (0.05)","0 (0.48)","0.02 (0.73)","-","-"
"b","R carriers per day","0.01 (<0.01)","-0.18 (<0.01)","0 (0.76)","-0.01 (0.83)","-","-"
"","New R acquisitions per admission","0.01 (<0.01)","0.17 (<0.01)","0 (0.44)","0.02 (0.70)","-","-"
"phi_s","R carriers per day","0.06 (<0.01)","0.42 (<0.01)","0 (0.55)","0.03 (0.53)","0 (0.55)","0.01 (0.81)"
"","New R acquisitions per admission","0.03 (<0.01)","0.12 (0.01)","0.01 (<0.01)","0.17 (<0.01)","0 (0.08)","-0.05 (0.31)"
"g_s","R carriers per day","0 (0.36)","-0.05 (0.34)","0 (0.05)","0.11 (0.03)","-","-"
"","New R acquisitions per admission","0 (0.46)","0 (0.99)","0.01 (<0.01)","0.19 (<0.01)","-","-"
"mu","R carriers per day","0 (0.03)","-0.09 (0.07)","0 (0.11)","-0.07 (0.17)","-","-"
"","New R acquisitions per admission","0 (0.27)","0.07 (0.14)","0 (0.65)","0.02 (0.67)","-","-"
"alpha_s","R carriers per day","0 (0.34)","0.01 (0.80)","0 (0.47)","0.03 (0.50)","0 (0.10)","0.08 (0.09)"
